"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000027349",-2.07813537468753,6.59710271985133,123.215886289602,7.56291044596703e-10,6.89491869260453e-06
"ENSMUSG00000003308",-1.25351210031868,5.74554222431552,109.770813443988,1.74275500703348e-09,6.89491869260453e-06
"ENSMUSG00000073144",-1.98006915382858,4.32520347818346,108.065324882326,3.1405279786537e-09,6.89491869260453e-06
"ENSMUSG00000020409",-1.69239376676014,5.92894434840474,98.1683020431793,4.12700530505411e-09,6.89491869260453e-06
"ENSMUSG00000058672",-1.64094363370168,6.20950955488107,98.1826395885606,4.8653421893511e-09,6.89491869260453e-06
"ENSMUSG00000071424",2.12770742211882,7.47606570975294,104.519080044312,5.38178413622895e-09,6.89491869260453e-06
"ENSMUSG00000117835",-2.71711893248814,4.65187721142805,100.126110091718,6.91712923551973e-09,6.89491869260453e-06
"ENSMUSG00000084904",2.07944717765723,2.93359749450523,95.5221276636961,7.07420098951411e-09,6.89491869260453e-06
"ENSMUSG00000021240",-4.15033151286424,7.89657330792819,91.1152483060932,7.13008899711809e-09,6.89491869260453e-06
"ENSMUSG00000032469",-1.93124388159059,3.92666211914091,100.135805262836,7.1612709280565e-09,6.89491869260453e-06
"ENSMUSG00000111409",-4.13761397376229,5.00781951256958,104.396260806061,7.29761431912343e-09,6.89491869260453e-06
"ENSMUSG00000021645",-1.21780980866059,5.30050866046885,89.3901568551491,8.00111966650712e-09,6.92963639116738e-06
"ENSMUSG00000028434",2.1364971153176,3.58442993180131,85.9751772566523,1.12447658621894e-08,8.85563762139036e-06
"ENSMUSG00000038370",-2.54773579622019,6.21027074885847,84.850266403088,1.19290798325281e-08,8.85563762139036e-06
"ENSMUSG00000025580",-1.14276260045684,6.0146547435518,87.7011003914489,1.31364885001255e-08,9.10183499878699e-06
"ENSMUSG00000005846",-1.71402187643851,6.80963966833422,87.5841138293634,1.563000436942e-08,1.01503787463075e-05
"ENSMUSG00000048967",-3.15329380957277,5.76165434698213,83.9955410677501,1.76114280774377e-08,1.01503787463075e-05
"ENSMUSG00000030983",-1.09947022897753,6.32744024110346,85.3429616061378,1.88617772489333e-08,1.01503787463075e-05
"ENSMUSG00000013736",-1.81638834518053,5.45941166887614,78.9265641758363,2.12406487515073e-08,1.01503787463075e-05
"ENSMUSG00000048175",-1.14765721175159,5.03648254057274,78.7168191087541,2.17635534160804e-08,1.01503787463075e-05
"ENSMUSG00000036352",-1.21674484496484,5.84537592776681,81.0740148486145,2.21611516782547e-08,1.01503787463075e-05
"ENSMUSG00000000078",-1.80352510078602,3.33917009587754,88.1388258225784,2.34883544769114e-08,1.01503787463075e-05
"ENSMUSG00000008475",-1.50847680581371,5.68654530605462,78.6312837665986,2.41581225047003e-08,1.01503787463075e-05
"ENSMUSG00000022774",-1.36634060841325,5.83815183413745,79.6426613679103,2.4262507920423e-08,1.01503787463075e-05
"ENSMUSG00000004843",-1.38576061320776,5.83655225870623,79.5114295004046,2.44163830133443e-08,1.01503787463075e-05
