"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000058672",-2.45616756992024,7.881000666146,110.776488745131,1.92914236706802e-10,7.80338087479014e-07
"ENSMUSG00000029062",-2.54220007299753,8.26789954629949,78.8752135309602,5.58710753368398e-09,1.12999249868758e-05
"ENSMUSG00000032878",2.39412532407188,8.48536190338408,75.547999219288,1.51434664464529e-08,2.04184405919673e-05
"ENSMUSG00000067873",-2.47030717680962,7.21135549887018,66.0054273586924,2.39282977293646e-08,2.41974910788199e-05
"ENSMUSG00000002658",-2.09388456370106,6.72924339549883,63.5057762607072,3.47054407311232e-08,2.80767015514787e-05
"ENSMUSG00000027881",-2.23666314082141,7.88670188739456,62.5029250418891,4.27278452120991e-08,2.88056889804901e-05
"ENSMUSG00000027349",-2.38189394862316,6.96481768623297,59.6027924874636,5.99042691235777e-08,3.23987629931998e-05
"ENSMUSG00000030738",-1.76203137097604,7.80642429366892,60.3323542998195,6.40766635217796e-08,3.23987629931998e-05
"ENSMUSG00000026234",-2.04536643269283,9.48135442069754,58.568944256069,1.14887480496417e-07,4.55180662713674e-05
"ENSMUSG00000004535",-1.82265318917624,8.26040996708784,56.9577354437926,1.17745571053143e-07,4.55180662713674e-05
"ENSMUSG00000003360",-2.08621385892027,6.40723022979362,55.0826390502401,1.23782133247229e-07,4.55180662713674e-05
"ENSMUSG00000018326",-1.98939604324227,9.38574750141363,54.755256078816,1.97197884901811e-07,6.50663736256099e-05
"ENSMUSG00000059742",2.28771876281799,11.162451733456,54.3980800393776,2.21959046002186e-07,6.50663736256099e-05
"ENSMUSG00000032249",-1.99633634281806,10.0265903121923,54.2037126165423,2.25198820953903e-07,6.50663736256099e-05
"ENSMUSG00000024474",-2.19471776958168,7.92962157096373,49.9186844671657,2.93032330883518e-07,7.79894210335258e-05
"ENSMUSG00000062991",2.98012167090124,7.1233658144384,49.0428226864422,3.09966609392698e-07,7.79894210335258e-05
"ENSMUSG00000027981",-2.01453664101757,8.21675960414075,49.4599051751255,3.5376575636348e-07,7.79894210335258e-05
"ENSMUSG00000020863",-2.03024831203966,10.0393716026327,50.532654935002,3.91336829026197e-07,7.79894210335258e-05
"ENSMUSG00000022283",-2.55781903564908,8.36714379461537,48.2138291653602,4.00012545013571e-07,7.79894210335258e-05
"ENSMUSG00000031558",2.19220858488066,13.2726580008257,50.3938298484954,4.04511389878626e-07,7.79894210335258e-05
"ENSMUSG00000022185",-1.731494860484,8.55770425859448,49.4178473710482,4.04889454067749e-07,7.79894210335258e-05
"ENSMUSG00000005846",-1.78352980913438,7.29571531478427,46.8090129426926,4.6244145942881e-07,8.30389421562585e-05
"ENSMUSG00000076431",-1.95315812267634,5.57472119933812,47.0766270117966,4.77862145400706e-07,8.30389421562585e-05
"ENSMUSG00000032425",-2.079223030015,6.66121604030194,45.994023083142,5.2471974133881e-07,8.30389421562585e-05
"ENSMUSG00000020048",-2.05945090013072,9.5978925428514,48.4149922734913,5.28416665082648e-07,8.30389421562585e-05
"ENSMUSG00000020923",-2.02379112346782,7.49112934684595,45.7333015838266,5.56506088339971e-07,8.30389421562585e-05
"ENSMUSG00000062209",2.37109032698715,12.3727429656502,48.2825103738413,5.63558702084668e-07,8.30389421562585e-05
"ENSMUSG00000020720",-1.38311227098248,7.09007302880886,45.6589349759014,5.74806027286833e-07,8.30389421562585e-05
"ENSMUSG00000074505",2.30240508995029,10.0854829946501,47.5054896250328,6.43934845254146e-07,8.98178085880352e-05
"ENSMUSG00000030428",-1.67791970481874,10.132140994047,46.5917136093318,7.41062171919234e-07,9.99198828471101e-05
