"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000027014",-3.14575834081994,6.58080323119856,77.2356628381047,4.38225190147205e-09,2.00181266859243e-05
"ENSMUSG00000027349",-2.53062003052651,6.70368290302434,66.446493641067,1.9080896693663e-08,3.95926942515254e-05
"ENSMUSG00000022935",-4.52988179408801,5.86717214991205,66.5037073336214,2.6002207258007e-08,3.95926942515254e-05
"ENSMUSG00000029062",-1.92515840191051,7.62780180914777,59.8402222387101,6.60528729212897e-08,6.60786239097762e-05
"ENSMUSG00000036061",-2.73763295961827,6.73252790308337,56.4267365122335,7.9747680893996e-08,6.60786239097762e-05
"ENSMUSG00000022283",-2.36823982296395,8.00290464380974,57.9010357413761,8.67932888482174e-08,6.60786239097762e-05
"ENSMUSG00000060924",2.90905221394951,6.54421913544234,47.1021440954222,1.35747068799735e-07,8.78850737567595e-05
"ENSMUSG00000029014",-1.76356107255618,5.89936092987891,51.2540310725882,1.66985017987709e-07,8.78850737567595e-05
"ENSMUSG00000067873",-2.27223201114408,7.0752294371376,52.1098381073473,1.84587998426711e-07,8.78850737567595e-05
"ENSMUSG00000042487",-2.04372254481148,6.52845819026284,51.2699647371857,1.92392893513046e-07,8.78850737567595e-05
"ENSMUSG00000018326",-1.9661335188379,9.31541010624105,50.0676050665438,3.20220356156616e-07,0.000132978780629402
"ENSMUSG00000003031",-1.79395579894942,6.87173191663249,48.2028794055052,3.61384035094051e-07,0.000137566856025802
"ENSMUSG00000030428",-1.56141604276666,10.3119561275326,48.3548161581967,4.21992629305408e-07,0.000143855012811413
"ENSMUSG00000020048",-1.87697687375481,9.41989239854748,48.1126596751318,4.4088664171624e-07,0.000143855012811413
"ENSMUSG00000030852",-3.09355021105323,4.89316485442236,46.0016212603535,4.98361857030652e-07,0.000144443547750575
"ENSMUSG00000039630",-1.85465157667179,8.96188829616553,47.2597043031655,5.05931866026531e-07,0.000144443547750575
"ENSMUSG00000013089",2.41750952808501,6.4757523211745,39.6340215075303,5.98483132585662e-07,0.000160815938214783
"ENSMUSG00000030738",-1.58136959192986,7.85787830736089,45.6504984635169,6.43017259333313e-07,0.000161690086456035
"ENSMUSG00000002658",-1.82087255390285,6.34870065274518,43.8860064036966,6.72528818446732e-07,0.000161690086456035
"ENSMUSG00000076431",-1.76589994912179,7.88205608967116,44.5666204568382,7.64685131367826e-07,0.000174654084004411
"ENSMUSG00000020863",-1.7804069591995,9.7965414580412,44.4536084087402,8.20206291200894e-07,0.000178414397057414
"ENSMUSG00000004535",-1.89269589338727,8.19641767406184,43.8981688256324,8.73715582037007e-07,0.000181415126306593
"ENSMUSG00000028869",-1.87364851906978,6.03080919598981,41.8522717180897,9.22862248175011e-07,0.000183288467376672
"ENSMUSG00000030138",-1.79314376288667,5.43874081507722,40.8422593364289,1.00488360643804e-06,0.000184535755577099
"ENSMUSG00000002833",-1.50190815972946,5.86593715626391,40.9891946833363,1.04949999071229e-06,0.000184535755577099
"ENSMUSG00000020994",-2.05928766929116,9.31752675683253,43.0435250360547,1.05033486099049e-06,0.000184535755577099
"ENSMUSG00000026234",-1.77470100114917,9.37578178722682,42.5687018137102,1.14587228477752e-06,0.000193864614698656
"ENSMUSG00000005846",-1.48260040835516,6.98663230858414,41.3865026720396,1.25343763028963e-06,0.000196696672242707
"ENSMUSG00000059518",-2.78256395741602,6.96859331182045,40.7187493671927,1.25843948992809e-06,0.000196696672242707
"ENSMUSG00000061032",-1.46732931316309,7.99383442360218,41.7494142436009,1.30031174046887e-06,0.000196696672242707
"ENSMUSG00000022185",-1.91454996566824,8.43198532823182,41.6129121879778,1.33485044648072e-06,0.000196696672242707
"ENSMUSG00000058672",-1.43029528480496,8.98247717469515,40.8719091423405,1.56198635257274e-06,0.000222973551829758
"ENSMUSG00000020923",-1.89239145114977,7.39317246172761,40.0371391959857,1.65326000152305e-06,0.000226310692453471
"ENSMUSG00000003279",1.89884604388454,6.97054340329428,37.1603317626478,1.68444911195666e-06,0.000226310692453471
"ENSMUSG00000032599",-2.0912870998435,7.33067528689445,39.3569048263443,1.83074166593041e-06,0.000238937940856289
"ENSMUSG00000020547",-1.99934576362066,6.07676743474719,37.6212670351195,2.14714825602913e-06,0.000272449256487252
"ENSMUSG00000052459",-1.4249314328128,8.71091073733453,38.6040084650385,2.38860964905376e-06,0.000294896456131826
"ENSMUSG00000020368",-1.50579890050775,9.07448337786867,38.450193632916,2.46315441963223e-06,0.000296097089181054
"ENSMUSG00000051223",-1.74155809981229,6.8176857641738,37.1539593722627,2.70416244163368e-06,0.000312361619706813
"ENSMUSG00000070705",-1.77145408020083,5.67919349897823,36.0956098389254,2.73635006155137e-06,0.000312361619706813
"ENSMUSG00000049940",-1.55979529846992,5.75589416919141,35.9198821629401,2.8249144539436e-06,0.000312361619706813
"ENSMUSG00000032249",-1.5156274660756,10.1973631392409,37.6375363645667,2.87197636332884e-06,0.000312361619706813
"ENSMUSG00000028248",-1.62513411827803,9.84468385525092,37.1763062814053,3.14874662033503e-06,0.000332937797117295
"ENSMUSG00000064356",3.42790627004944,6.99913688814441,32.7085148739585,3.20693149587587e-06,0.000332937797117295
"ENSMUSG00000028187",-1.45523068074963,5.52648800406239,34.7805386007193,3.43816817609444e-06,0.000346296470526313
"ENSMUSG00000006289",-1.73931299348108,6.31222416756939,35.4308060821308,3.48722365241033e-06,0.000346296470526313
"ENSMUSG00000021848",-1.70493493427123,10.0568784974392,36.4733068676494,3.61507658318436e-06,0.000351354677276301
"ENSMUSG00000038708",-1.79634291700367,7.8143494995064,35.9542884940152,3.85631488446025e-06,0.00036697360163592
"ENSMUSG00000021039",-1.52342882300018,8.05603149344605,35.9398191755307,3.95776822230631e-06,0.00036697360163592
"ENSMUSG00000042625",-1.37524703695195,6.84102523188237,35.2988329392245,4.09199183684303e-06,0.00036697360163592
"ENSMUSG00000070802",-1.47178229641938,7.74770275821174,35.6897994397207,4.09712208481434e-06,0.00036697360163592
"ENSMUSG00000022000",-1.65653448370879,7.56194418342784,35.3997289581619,4.25952445717487e-06,0.000374182840776438
"ENSMUSG00000022035",-1.42849900034002,6.14935172204815,34.1324778447342,4.54017964231445e-06,0.000389662864578863
"ENSMUSG00000032606",-1.42153312505642,6.31766988167071,34.1027670113837,4.73796246142899e-06,0.000389662864578863
"ENSMUSG00000027881",-2.09787054705303,7.07844998634048,34.3635619146798,4.82290665110917e-06,0.000389662864578863
"ENSMUSG00000024109",1.61684342623547,7.472137442088,34.1209339838274,4.83580544294404e-06,0.000389662864578863
"ENSMUSG00000020358",-2.08344235247318,7.11835635375901,34.3552242762299,4.86225553436847e-06,0.000389662864578863
"ENSMUSG00000038416",-1.48744596983168,6.31886707865416,33.6553516356526,5.2432246424796e-06,0.000406816962133792
"ENSMUSG00000024474",-1.77937573054913,7.58317646672167,34.3552835253345,5.25442223421491e-06,0.000406816962133792
