"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000021448",4.55370707337517,5.33970185170844,164.655437555344,4.05453761477809e-13,3.01414326282603e-09
"ENSMUSG00000037262",-1.58622110310859,5.56582021151273,95.0875956608535,2.17863164894427e-09,7.67356985016233e-06
"ENSMUSG00000040270",2.47908575702864,7.04274789303211,99.6026331398563,3.09667871273702e-09,7.67356985016233e-06
"ENSMUSG00000027349",-2.17232130885844,6.70835262755134,83.909170644444,8.54230839657921e-09,1.27583403903365e-05
"ENSMUSG00000031628",-2.00868466386354,7.32594921278892,85.2941127737146,9.37672341267545e-09,1.27583403903365e-05
"ENSMUSG00000005609",-1.71110602312975,6.60736408587221,82.9977357343622,1.02972884506348e-08,1.27583403903365e-05
"ENSMUSG00000021240",-2.31317815773502,6.60356059957079,78.1338080842459,1.43654092919998e-08,1.5211769521748e-05
"ENSMUSG00000027014",-2.62193248491786,6.49776188458591,75.4237677146525,1.68411512279744e-08,1.5211769521748e-05
"ENSMUSG00000045598",-1.72743955763002,5.2570836770132,73.4325574219186,1.89300704159194e-08,1.5211769521748e-05
"ENSMUSG00000004843",-1.31390298621491,5.75217983633188,74.66402065119,2.04624287352005e-08,1.5211769521748e-05
"ENSMUSG00000004535",-2.16210581641599,8.30830908151451,76.123886174647,2.69534146895953e-08,1.71229764803432e-05
"ENSMUSG00000030428",-1.70026957302413,10.162600500542,75.5768258508083,2.90409880589603e-08,1.71229764803432e-05
"ENSMUSG00000027881",-2.0342334577439,7.1477418698323,73.6945289805699,2.99433271784318e-08,1.71229764803432e-05
"ENSMUSG00000020409",-1.76353966942157,6.0746491291551,69.9186984035727,3.53680959674322e-08,1.77438989943374e-05
"ENSMUSG00000036061",-2.30250053501523,5.43638374056053,67.7007496250173,3.75888171714581e-08,1.77438989943374e-05
"ENSMUSG00000033088",1.8751219824953,5.42097621073428,71.428453734977,4.00971896298807e-08,1.77438989943374e-05
"ENSMUSG00000049252",-2.64153875484417,5.48471994931968,67.4172630845544,4.05765782759934e-08,1.77438989943374e-05
"ENSMUSG00000029062",-2.00468599634998,7.7660634065308,71.3265982003832,4.37553290399888e-08,1.79846339943998e-05
"ENSMUSG00000067873",-2.42703988741575,7.0049830711078,68.3465330377112,4.85841195197426e-08,1.79846339943998e-05
"ENSMUSG00000027569",-1.50898895099104,5.00589144108691,65.2403762059727,5.12434832002439e-08,1.79846339943998e-05
"ENSMUSG00000003031",-1.43670486886277,6.50937745019677,68.5046803272977,5.17256537867485e-08,1.79846339943998e-05
"ENSMUSG00000048978",-1.63804450589439,6.29053822597272,67.3632756352875,5.32232913474302e-08,1.79846339943998e-05
"ENSMUSG00000020994",-2.00612864570894,9.33629988511014,69.6401980225527,5.62803038220321e-08,1.81907729831733e-05
"ENSMUSG00000020923",-1.94004451197799,7.38651258344872,67.9394360983013,6.15050174270021e-08,1.84521953990052e-05
"ENSMUSG00000005649",-3.14598483404281,6.36205289965774,63.6786267663259,6.20533878094069e-08,1.84521953990052e-05
"ENSMUSG00000025823",-1.84436330706326,5.00391524364568,63.3577786836222,6.61281130341282e-08,1.8907553549835e-05
"ENSMUSG00000037197",-1.69539317842654,6.07100915018141,63.9067093756815,7.50722543258788e-08,1.99555704154713e-05
"ENSMUSG00000002948",-1.59350983091635,6.08728192659388,64.1348951394387,7.51622237870861e-08,1.99555704154713e-05
"ENSMUSG00000028902",-1.37141910306449,5.90847477644238,63.2726283307427,8.31732269238283e-08,2.07834900725095e-05
"ENSMUSG00000013736",-1.49524241621835,5.23485620464723,61.6281231221966,8.38720341909181e-08,2.07834900725095e-05
"ENSMUSG00000005846",-1.55921915636244,6.87594979445398,64.2396170953145,9.20204842069863e-08,2.20671057933786e-05
"ENSMUSG00000029014",-1.56735620165968,5.34145698975649,60.7177660799912,9.55010287892874e-08,2.20944571315251e-05
"ENSMUSG00000030852",-2.41389951973729,5.72640258474611,60.2556977222955,9.80787039736789e-08,2.20944571315251e-05
"ENSMUSG00000028668",-1.86695626966815,5.52818679488546,59.9012949140953,1.05604349030615e-07,2.26086872934131e-05
"ENSMUSG00000022008",-1.56919006928727,5.59882279071942,60.3547178548447,1.06443913810796e-07,2.26086872934131e-05
"ENSMUSG00000020462",-1.70316501476259,7.47356570982821,61.2504816284407,1.44349470012199e-07,2.96143117907817e-05
"ENSMUSG00000022607",1.45277244707242,6.81319122612859,61.2593023273039,1.53987594229826e-07,2.96143117907817e-05
"ENSMUSG00000025026",-1.81809951358707,4.61991854110916,57.5648986710842,1.5786202645062e-07,2.96143117907817e-05
"ENSMUSG00000030082",-2.23864501666289,5.7596492826656,56.9135773296097,1.58078669843032e-07,2.96143117907817e-05
"ENSMUSG00000022185",-1.55503185309778,8.27224993285691,60.9235953930518,1.59345234279159e-07,2.96143117907817e-05
"ENSMUSG00000046010",-1.70435231712986,4.09370490355706,58.393940627303,1.67213695355329e-07,3.03186978358907e-05
"ENSMUSG00000026377",-1.50475117892361,5.63127908154248,56.4256290156059,1.8633522967009e-07,3.21010244591033e-05
"ENSMUSG00000111447",-2.88910992122279,4.72074789016521,58.3059628508044,1.86744309221621e-07,3.21010244591033e-05
"ENSMUSG00000078970",-1.90541994647355,4.37103948640784,56.9273873014708,1.8999799249402e-07,3.21010244591033e-05
"ENSMUSG00000025024",-1.10198495833785,6.19643559956609,57.0955179723528,2.13839456798828e-07,3.53262782631664e-05
"ENSMUSG00000003360",-1.68755141630092,5.71931839939854,55.0537994361728,2.23187704611107e-07,3.60690738278038e-05
"ENSMUSG00000020888",-1.59562692195362,4.2440586636442,55.316717199048,2.3437617709903e-07,3.62065556108499e-05
"ENSMUSG00000025646",-2.39217259243483,4.95035139075541,54.8704442751901,2.3671739718767e-07,3.62065556108499e-05
"ENSMUSG00000032249",-1.77238489988775,9.6072028412562,57.7915310379637,2.3864961325419e-07,3.62065556108499e-05
"ENSMUSG00000033900",-2.15165518534965,5.77256892609235,53.7663330189849,2.51921726109218e-07,3.62759243790174e-05
"ENSMUSG00000053025",1.53367044363968,8.50245771613446,57.2200398715855,2.56790772669505e-07,3.62759243790174e-05
"ENSMUSG00000057421",-1.20401437606168,6.48992060857922,55.847410929856,2.66414927006366e-07,3.62759243790174e-05
"ENSMUSG00000032883",-1.97912638315368,5.99385033646804,53.8547987126009,2.69207556901906e-07,3.62759243790174e-05
"ENSMUSG00000038718",1.99716024930125,6.62416213881903,56.9794254539317,2.70702884646795e-07,3.62759243790174e-05
"ENSMUSG00000027080",-1.47052530901652,6.67156454329134,55.5485603256794,2.77132688004095e-07,3.62759243790174e-05
"ENSMUSG00000044726",-1.6875269011333,4.29325087186532,54.0223599126378,2.82251518220345e-07,3.62759243790174e-05
"ENSMUSG00000068739",-1.20679245519667,7.52931709046056,56.3767953283258,2.82254312440123e-07,3.62759243790174e-05
"ENSMUSG00000050017",-1.20480851835039,6.62215431223062,55.583832892751,2.83024430183348e-07,3.62759243790174e-05
"ENSMUSG00000027350",-1.41566554938992,8.3256106850198,55.8693485171124,3.0888073047912e-07,3.87043262197366e-05
"ENSMUSG00000036825",-1.85538632429273,4.39844988547313,53.1740128907628,3.18890537357564e-07,3.87043262197366e-05
"ENSMUSG00000020720",-1.39719951569327,6.85533250591508,54.7613709877524,3.2265051876498e-07,3.87043262197366e-05
"ENSMUSG00000051228",-1.6718816833628,6.76824495484553,54.3670051148792,3.23721974775137e-07,3.87043262197366e-05
"ENSMUSG00000031245",-2.39919553408031,4.82058639373894,52.9282774004591,3.29838524172904e-07,3.87043262197366e-05
"ENSMUSG00000039756",-1.97262228351686,5.95204952412352,52.3367482769294,3.33209157662516e-07,3.87043262197366e-05
"ENSMUSG00000029328",-1.28621618730897,7.95378858872696,54.9740033796635,3.46880508611591e-07,3.8909626871087e-05
"ENSMUSG00000037149",-1.09568709812056,7.33788601867642,54.642315698756,3.5454560538493e-07,3.8909626871087e-05
"ENSMUSG00000022283",-2.29957231782579,7.96851742146923,54.4517360019868,3.55614643644536e-07,3.8909626871087e-05
"ENSMUSG00000027981",-2.27588219154188,8.03581025067603,54.5088437417283,3.55912648269292e-07,3.8909626871087e-05
"ENSMUSG00000006288",-1.08762077714755,6.13759663016033,53.012292884321,3.7367714392416e-07,4.00583749231414e-05
"ENSMUSG00000040123",-1.14967474284167,7.08579136218046,54.0133607268776,3.77197503984383e-07,4.00583749231414e-05
"ENSMUSG00000056050",-1.46273152031861,6.84774281504611,53.3593146649357,3.89040285968937e-07,4.01387670325937e-05
"ENSMUSG00000001962",-1.68132921581908,6.3081162539337,52.3261828571801,3.89295075284401e-07,4.01387670325937e-05
"ENSMUSG00000023033",1.77063158749007,7.33181879883522,54.1378306868699,3.9415254148229e-07,4.01387670325937e-05
"ENSMUSG00000025413",-1.51396149104662,6.11789149518248,51.9257237563705,4.045880223515e-07,4.06446940292034e-05
"ENSMUSG00000030942",-1.61523726413521,5.39758953876637,50.4078266981851,4.20831280272004e-07,4.17127965005611e-05
"ENSMUSG00000028982",-1.34221531609489,5.38326979817249,50.2957353765161,4.44053719126473e-07,4.3191180916719e-05
"ENSMUSG00000036352",-1.27829150151615,5.89675380137107,51.1578071847057,4.47366280681647e-07,4.3191180916719e-05
"ENSMUSG00000051316",-1.61168003251724,5.52783822379255,49.8852498926717,4.67562242900815e-07,4.3408051911981e-05
"ENSMUSG00000079184",-1.28900554839203,7.68149522304032,52.6160495850403,4.7623935473546e-07,4.3408051911981e-05
"ENSMUSG00000024474",-1.84764656122244,7.63222657906025,52.3839599105555,4.7632154656716e-07,4.3408051911981e-05
"ENSMUSG00000004896",-1.37205515276962,6.22747254487492,51.1720128885158,4.77629466785758e-07,4.3408051911981e-05
"ENSMUSG00000020358",-1.82909521276703,6.97555596144877,51.7356595905955,4.78808213180312e-07,4.3408051911981e-05
"ENSMUSG00000028869",-1.43697389017082,5.82919643256237,50.0890779136429,5.01137469303523e-07,4.48850114072577e-05
"ENSMUSG00000020863",-1.88429642694427,9.79186947688742,52.1383845035435,5.16155420132178e-07,4.56797546816978e-05
"ENSMUSG00000027238",-2.13652531649507,4.73010749136371,49.3739463836039,5.36276418841548e-07,4.69021046784478e-05
"ENSMUSG00000096210",-1.44139425291687,6.32894857233759,50.2760071892388,5.52036979305779e-07,4.73340780229135e-05
"ENSMUSG00000004980",-1.72323074832568,9.85702264192402,51.6273249660023,5.54578163293022e-07,4.73340780229135e-05
"ENSMUSG00000032599",-1.80163049270821,7.53909860609315,51.146133733165,5.65941623633543e-07,4.73340780229135e-05
"ENSMUSG00000079083",-2.00219413062396,4.7156417783198,48.8520887224039,5.66684549911125e-07,4.73340780229135e-05
"ENSMUSG00000018974",-1.52412641904259,5.36687491476159,48.1173442873421,6.06381245406679e-07,4.99091656904763e-05
"ENSMUSG00000021681",-1.27244645567452,6.29533026054142,49.7257930904677,6.109408229531e-07,4.99091656904763e-05
"ENSMUSG00000008475",-1.57944158865532,5.61595398340607,48.2391426384713,6.19537100345598e-07,5.0061291347491e-05
"ENSMUSG00000022894",-1.37499922113114,4.9329064575543,47.6448643305769,6.33626987052229e-07,5.01490354254035e-05
"ENSMUSG00000033080",-1.41321040713673,9.80162267144919,50.6910158567813,6.34114787461384e-07,5.01490354254035e-05
"ENSMUSG00000034488",1.45067257140421,8.91216995003651,50.505357695311,6.50739533247449e-07,5.08137858772132e-05
"ENSMUSG00000071723",-1.2890411585551,5.15543721820079,47.5709298849885,6.56190939495892e-07,5.08137858772132e-05
"ENSMUSG00000030738",-1.51957814296253,7.61400376113637,50.2179498414903,6.63338977560929e-07,5.08377521565768e-05
"ENSMUSG00000001472",-1.4379304582782,8.39830783114151,50.1552624048442,6.88796653031791e-07,5.20731523754881e-05
"ENSMUSG00000025235",-1.26565433660638,7.96940020229475,50.0389139204988,6.9727357958935e-07,5.20731523754881e-05
"ENSMUSG00000042426",-1.3889915356995,5.17646601638376,47.1289571350323,7.00472859503472e-07,5.20731523754881e-05
"ENSMUSG00000070972",-1.46421351427867,4.13223110024625,47.9784816271677,7.08707695432648e-07,5.21636931469931e-05
"ENSMUSG00000021578",-1.14187357679172,6.58120567383185,49.0684564378154,7.2217178831037e-07,5.26335791597969e-05
"ENSMUSG00000037533",1.32362465917264,6.9765481887544,49.5186337934613,7.59261631638142e-07,5.44554715965624e-05
