"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006397","mRNA processing","217/2837","487/20191",0.445585215605749,3.17124113087617,19.6107123477174,1.84064231467044e-61,1.07640762561928e-57,9.8464676243739e-58,"Slu7/Dbr1/Smn1/Eif4a3/Ncbp2/Cwc22/Fam50a/Pnn/Trmt10c/Cdc5l/Prpf38b/Htatsf1/Pabpc1/Ddx23/Sart1/Trmt6/Leo1/Hnrnpu/Sde2/Zfp830/Sf3b2/Rbm17/Luc7l3/Ncl/Hnrnpa2b1/Ik/Rnpc3/Wbp11/Nsrp1/Snw1/Sf3a3/Kin/Cwc15/Upf3a/Clp1/Safb/Rbm48/Srrm2/Syf2/Cwc25/Zrsr2/Luc7l/Thoc5/Snrnp35/Prpf40b/Smndc1/Prpf4/Cstf1/Snrpd3/Dhx9/Rnf113a2/Strap/Grsf1/Paf1/Jmjd6/Zc3h13/Rnf113a1/Safb2/Fip1l1/Prkrip1/Mettl14/Sugp1/Thrap3/Prmt5/Psip1/Ythdc1/Sart3/Srrm1/Akap8l/Ddx42/Acin1/Sf3b1/Ddx47/Prpf19/Rbm25/Rsrp1/Rrp1b/Angel2/Pus1/Hnrnpc/Xrn2/Zranb2/Ddx46/Thoc7/Pqbp1/Gpatch1/C1qbp/Hnrnpm/Srrt/Frg1/Dhx38/Ddx20/Cdc73/Ppp1r8/Cpsf2/Ddx1/Bud13/Rnmt/Cenatac/Snrnp70/Upf3b/Srsf4/Ncbp3/Fmr1/Celf6/Yju2b/Ptcd2/Rbm5/Thoc3/Arl6ip4/Exosc10/Pcf11/Rpusd4/Larp7/Gcfc2/Rbbp6/Snrpa1/Rbm22/Tcerg1/Rbmx/Wbp4/Nrde2/Hnrnpul2/Ddx41/Rbm28/Arglu1/Trmt2a/Magoh/Zfp326/Rbm42/Ncbp1/Ybx1/Sltm/Yju2/Dhx40/Dhx36/BC005624/Rbm8a/Mtrex/Zcchc8/Clns1a/Ilf3/Gemin2/Cactin/Zmat2/Paxbp1/Ddx17/Rbm11/Smu1/Tardbp/Dhx8/Rbmx2/Sfpq/Pde12/Tssc4/Coil/Crnkl1/Cstf2/Pabpn1/Bud31/Magohb/Papolg/Srpk1/Ess2/Prpf4b/Prpf31/Cpsf4/Tsen15/Celf5/Cpsf1/Kat8/Puf60/Hnrnpl/Prpf3/Tbrg4/Cd2bp2/Pus7/Habp4/Nsun2/Bcas2/Ppie/Dus3l/Prpf38a/Obi1/Zcrb1/Thoc1/Csdc2/Tra2a/Trub1/Supt6/Txnl4a/Lsm1/Ddx5/Tut1/Iws1/Adarb2/Fra10ac1/Rbm39/Ppil3/Thoc6/Gemin5/Srsf7/Khdrbs1/Sf3a1/Prmt9/Mettl3/Snip1/Prpf39/Gemin8/Dhx15/Cdc40/Srsf6/Prdx6/Casc3/Tfip11/Mettl16/Srsf5",217
"GO:0022613","ribonucleoprotein complex biogenesis","198/2837","443/20191",0.446952595936795,3.18097281091287,18.7667291511152,2.45599085992792e-56,7.18131727442923e-53,6.56912923692299e-53,"Slu7/Smn1/Eif4a3/Gnl2/Tsr1/Pak1ip1/Sbds/Dnttip2/Rpf2/Ltv1/Mak16/Rrp1/Mphosph10/Nol9/Nop14/Htatsf1/Ftsj3/Sart1/Eif3c/Rpf1/Utp3/Pa2g4/Sde2/Rrp15/Luc7l3/Ncl/Eif3d/Mybbp1a/Usp16/Wbp11/Nob1/Esf1/Sf3a3/Ddx54/Utp14a/Mrps2/Nop16/Zfp622/Clp1/Rpl7l1/Pes1/Las1l/Pno1/Sdad1/Exosc9/Zrsr2/Krr1/Dkc1/Lyar/Wdr75/Luc7l/Rbm34/Eif3a/Mphosph6/Pop4/Ddx52/Surf6/Denr/Bms1/Snrpd3/Dhx9/Strap/Nol11/Ddx27/Hsp90ab1/Dhx29/Nol7/Wdr3/Noa1/Nup88/Nop56/Prmt5/Nop58/Psip1/Ythdc1/Sart3/Fsaf1/Rexo4/Pelp1/Mrm2/Ddx42/Ebna1bp2/Sf3b1/Ddx47/Prpf19/Rsrp1/Rrp1b/Gnl3l/Mrpl10/Ddx46/Ddx21/C1qbp/Dcaf13/Rpp38/Mettl17/Brix1/Frg1/Ddx20/Utp15/Isg20l2/Rrs1/Glul/Dis3/Kri1/Utp11/Eif5/Abt1/Rrp8/Celf6/Ngdn/Nip7/Gtpbp4/Nol8/Znhit6/Mettl5/Srfbp1/Dimt1/Tsr2/Rbm5/Exosc10/Eif3l/Fcf1/Rpusd4/Exosc1/Gcfc2/Ddx49/Rbfa/Nufip1/Rbmx/Eif5b/Wdr74/Ddx28/Exosc3/Eif1a/Noc4l/Ncbp1/Naf1/Yju2/Lsg1/Mtrex/Clns1a/Cinp/Gemin2/Taf9/Heatr3/Rexo1/Ddx17/Bud23/Tma16/Wdr43/Gar1/Wdr55/Mcat/Znhit3/Eif1ax/Eif4b/Tssc4/Coil/Crnkl1/LTO1/Nom1/Srpk1/Prpf4b/Prpf31/Celf5/Nudt16/Mterf3/Puf60/Ythdf2/Prpf3/Gtf2h5/Gtf3a/Airim/Wdr36/Suv39h1/Nsun5/Nop2/Mrm3/Eral1/Ago1/Riok2/Exosc4/Eif3i/Slx9/Utp18/Ddx10/Utp4/Utp6/Gemin5/Riok3/Sf3a1/Ngrn/Prpf39/Gemin8/Utp25/Srsf6/Mettl16/Riok1",198
"GO:0016072","rRNA metabolic process","119/2837","251/20191",0.474103585657371,3.37420708424673,15.3035050464925,2.91117207611695e-37,2.12806678764149e-34,1.94665480142452e-34,"Eif4a3/Tsr1/Pak1ip1/Sbds/Rpf2/Mak16/Rrp1/Polr1g/Mphosph10/Nol9/Ubtf/Nop14/Ftsj3/Sart1/Rpf1/Utp3/Pa2g4/Sde2/Rrp15/Ncl/Wbp11/Nob1/Esf1/Ddx54/Utp14a/Rpl7l1/Pes1/Las1l/Exosc9/Krr1/Dkc1/Lyar/Wdr75/Rbm34/Mphosph6/Pop4/Ddx52/Bms1/Polr1b/Pelo/Nol11/Ddx27/Tcof1/Nol7/Wdr3/Trp53/Rexo4/Pelp1/Mrm2/Ebna1bp2/Ddx47/Rrp1b/Ddx21/Dcaf13/Rpp38/Brix1/Frg1/Utp15/Rrs1/Dis3/Kri1/Utp11/Mars1/Abt1/Rrp8/Ngdn/Gtpbp4/Nol8/Znhit6/Mettl5/Srfbp1/Dimt1/Tsr2/Exosc10/Top1/Fcf1/Rpusd4/Exosc1/Ddx49/Rbfa/Wdr74/Exosc3/Naf1/Mtrex/Taf9/Smarcb1/Rexo1/Ddx17/Bud23/Wdr43/Gar1/Wdr55/Znhit3/Polr1f/Nudt16/Ythdf2/Gtf2h5/Macroh2a1/Wdr36/Suv39h1/Nsun5/Nop2/Ddx11/Ercc3/Mrm3/Riok2/Smarca4/Exosc4/Slx9/Utp18/Dedd/Ddx10/Utp4/Utp6/Riok3/Utp25/Mettl16/Polr2e/Riok1",119
"GO:0006364","rRNA processing","103/2837","213/20191",0.483568075117371,3.44156609259599,14.4837264277403,2.44981202091392e-33,1.59183341092273e-30,1.45613388190462e-30,"Eif4a3/Tsr1/Pak1ip1/Sbds/Rpf2/Mak16/Rrp1/Mphosph10/Nol9/Nop14/Ftsj3/Sart1/Rpf1/Utp3/Pa2g4/Sde2/Rrp15/Ncl/Wbp11/Nob1/Esf1/Ddx54/Utp14a/Rpl7l1/Pes1/Las1l/Exosc9/Krr1/Dkc1/Lyar/Wdr75/Rbm34/Mphosph6/Pop4/Ddx52/Bms1/Nol11/Ddx27/Nol7/Wdr3/Rexo4/Pelp1/Mrm2/Ebna1bp2/Ddx47/Rrp1b/Ddx21/Dcaf13/Rpp38/Brix1/Frg1/Utp15/Rrs1/Dis3/Kri1/Utp11/Abt1/Rrp8/Ngdn/Gtpbp4/Nol8/Znhit6/Mettl5/Srfbp1/Dimt1/Tsr2/Exosc10/Fcf1/Rpusd4/Exosc1/Ddx49/Rbfa/Wdr74/Exosc3/Naf1/Mtrex/Taf9/Rexo1/Ddx17/Bud23/Wdr43/Gar1/Wdr55/Znhit3/Nudt16/Ythdf2/Gtf2h5/Wdr36/Suv39h1/Nsun5/Nop2/Mrm3/Riok2/Exosc4/Slx9/Utp18/Ddx10/Utp4/Utp6/Riok3/Utp25/Mettl16/Riok1",103
"GO:0071826","protein-RNA complex organization","73/2837","189/20191",0.386243386243386,2.74890384618971,9.76693178021469,4.12471205915247e-17,2.19284692017488e-14,2.00591260139836e-14,"Slu7/Smn1/Rpf2/Htatsf1/Eif3c/Luc7l3/Eif3d/Sf3a3/Clp1/Zrsr2/Dkc1/Luc7l/Eif3a/Denr/Snrpd3/Dhx9/Strap/Hsp90ab1/Dhx29/Prmt5/Psip1/Ythdc1/Sart3/Mrm2/Ddx42/Sf3b1/Prpf19/Rsrp1/Ddx46/Mettl17/Brix1/Ddx20/Rrs1/Eif5/Abt1/Celf6/Znhit6/Rbm5/Eif3l/Gcfc2/Faf2/Nufip1/Rbmx/Ddx28/Ncbp1/Naf1/Yju2/Clns1a/Gemin2/Taf9/Kif5b/Mcat/Znhit3/Eif4b/Tssc4/Coil/Crnkl1/Srpk1/Prpf4b/Prpf31/Celf5/Puf60/Prpf3/Nop2/Eral1/Ago1/Eif3i/Gemin5/Sf3a1/Prpf39/Gemin8/Srsf6/Tfip11",73
"GO:0022618","protein-RNA complex assembly","70/2837","180/20191",0.388888888888889,2.76773195472526,9.63199614231072,1.19356984053151e-16,5.81666368952356e-14,5.32080871015889e-14,"Slu7/Smn1/Rpf2/Htatsf1/Eif3c/Luc7l3/Eif3d/Sf3a3/Clp1/Zrsr2/Dkc1/Luc7l/Eif3a/Denr/Snrpd3/Dhx9/Strap/Hsp90ab1/Dhx29/Prmt5/Psip1/Ythdc1/Sart3/Mrm2/Ddx42/Sf3b1/Prpf19/Rsrp1/Ddx46/Mettl17/Brix1/Ddx20/Rrs1/Eif5/Abt1/Celf6/Znhit6/Rbm5/Eif3l/Gcfc2/Nufip1/Rbmx/Ddx28/Ncbp1/Naf1/Yju2/Clns1a/Gemin2/Taf9/Mcat/Znhit3/Eif4b/Tssc4/Coil/Crnkl1/Srpk1/Prpf4b/Prpf31/Celf5/Puf60/Prpf3/Nop2/Eral1/Ago1/Eif3i/Gemin5/Sf3a1/Prpf39/Gemin8/Srsf6",70
"GO:0006457","protein folding","69/2837","180/20191",0.383333333333333,2.72819292680061,9.41655637304994,4.72577944964913e-16,1.97402558725344e-13,1.80574520023435e-13,"Dnajc7/Dnajc2/Dnajc25/Cct6a/Pdia4/Ttc4/Hsp90b1/Dnajc10/Clu/Mesd/Tor1b/Grpel2/Ppif/Ccdc47/Canx/Hspa9/Cct2/Hspa13/P4hb/Hsp90ab1/Ahsa2/Bag5/Pfdn4/Hspd1/Hspa4/Ppig/Pdrg1/Ppid/Cdc123/Pdcl/Cdc37/Dnajb11/Dnajb1/Dnaja2/Cdc37l1/Bag1/Tor1a/Dnajb12/Pdia3/St13/Ppib/Hsph1/Hspa5/Tcp1/Dnajc3/Sdf2/Calr/Dnajb5/Nudcd2/Hyou1/Vbp1/Ppie/Cct3/Trap1/Cct5/Hspa14/Pdcl3/Dffa/Grn/Tbcc/Ric8a/Cct7/Dnajc5/Dnajb4/Ppil3/Cct8/Fkbp4/Tor2a/Clpx",69
"GO:0006360","transcription by RNA polymerase I","38/2837","76/20191",0.5,3.55851251321819,9.03508731358502,9.15335017581687e-14,2.81730483306195e-11,2.57713715199453e-11,"Polr1g/Ubtf/Actr6/Ncl/Mybbp1a/Lyar/Wdr75/Polr1b/Dek/Nol11/Atf4/Tcof1/Sf3b1/Ddx21/Utp15/Mars1/Ppp1r15a/Baz1b/Gtf2h1/Smarcb1/Polr1c/Taf1a/Wdr43/Maf1/Pdcd7/Zmpste24/Polr1f/Smarca5/Gtf2h5/Macroh2a1/Spty2d1/Ddx11/Ercc3/Smarca4/Dedd/Ttf1/Polr2b/Polr2e",38
"GO:0006403","RNA localization","62/2837","172/20191",0.36046511627907,2.56543925371544,8.33637579870443,3.72832146339416e-13,1.03824875799662e-10,9.49740835938303e-11,"Eif4a3/Ncbp2/Phax/Fyttd1/Hnrnpab/Hnrnpu/Hnrnpa2b1/Rae1/Dkc1/Ssb/Thoc5/Dhx9/Sec13/Cct2/G3bp2/Nup88/Nop58/Ythdc1/Akap8l/Ddx25/Nup62/Thoc7/Mrpl18/Nup85/Ncbp3/Fmr1/Znhit6/Pom121/Senp2/Thoc3/Exosc10/Cetn3/Nrde2/Nup37/Magoh/Ncbp1/Ybx1/Dhx36/Nup43/Yy1/Rbm8a/Kpnb1/Eny2/Tpr/Znhit3/Tcp1/Pabpn1/Magohb/Nxf1/Cetn2/Dcp2/Nsun2/Ddx19a/Thoc1/Supt6/Nup54/Iws1/Thoc6/Srsf7/Khdrbs1/Flot1/Casc3",62
"GO:0034728","nucleosome organization","37/2837","78/20191",0.474358974358974,3.37602469202751,8.50076195601849,1.52686646186082e-12,3.90156022541148e-10,3.56896268009597e-10,"Nap1l4/Cebpg/Ssrp1/Asf1a/Daxx/Nap1l3/Anp32b/H1f0/Supt16/Dnajc9/Nap1l5/Sart3/Tspyl2/Ttc39aos1/Smarcd1/Hp1bp3/Smarcc2/Smarcd2/Nasp/Smarcc1/Tspyl5/Tspyl1/Pole3/Smarcb1/Rbbp4/Brd2/Tspyl4/Ubn1/Atrx/Smarca5/Nap1l2/H1f4/Macroh2a1/Chd1/Spty2d1/Supt6/Smarca4",37
