"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006397","mRNA processing","114/882","487/20191",0.234086242299795,5.35877020212603,20.810083136367,1.66592634718454e-51,7.54831227909316e-48,6.71105276913183e-48,"Htatsf1/Prpf38b/Ncl/Ddx23/Ik/Rnpc3/Luc7l3/Pabpc1/Acin1/Xrn2/Hnrnpa2b1/Pnn/Ddx46/Hnrnpu/Thrap3/Upf3a/Safb/Leo1/Srrt/Snw1/Ddx42/Rsrp1/Ythdc1/Cdc5l/Sf3b2/Sfpq/Zc3h13/Arl6ip4/Cpsf2/Snrpd3/Ybx1/Cwc15/Smndc1/Luc7l/Snrnp70/Ddx1/Pqbp1/Hnrnpc/Psip1/Grsf1/Rbm25/Rbbp6/Hnrnpm/Zranb2/Srrm1/Paxbp1/BC005624/Fmr1/Dhx9/Eif4a3/Safb2/Hnrnpul2/Prpf4b/Srsf4/Khdrbs1/Nsrp1/Snrpa1/Sf3b1/Zfp326/Srrm2/Zrsr2/Dhx15/Prpf6/Thoc2/Paf1/Habp4/Rbm8a/Zmat2/Ncbp2/Pcf11/Ilf3/Tardbp/Fip1l1/Prpf19/Supt6/Rbm42/Wbp4/Rbm5/Ddx17/Akap8l/Thoc7/Syf2/Ssu72/Wbp11/Dhx36/Prpf39/Sugp1/Angel2/Sltm/Hnrnph1/Hnrnpl/Srek1/Rbm28/Frg1/Arglu1/Scaf11/Slirp/Ddx5/Fra10ac1/Strap/Zcchc8/Srsf5/Snrnp200/Zcrb1/Zbtb7a/Bud31/Pcbp1/Mettl16/Upf3b/C1qbp/Casc3/Lsm8/Srpk1/Tra2a",114
"GO:0006417","regulation of translation","52/882","349/20191",0.148997134670487,3.41088565321066,9.70999852972847,7.80222693554736e-15,3.53518902449651e-12,3.14306552445681e-12,"Ncl/Pabpc1/Sox4/Nolc1/Pa2g4/Hnrnpu/Bzw1/Upf3a/Serbp1/Hnrnpd/Eprs1/Ybx1/Ssb/Sars1/Gspt1/Fmr1/Eif5b/Dhx9/Abcf1/Tpr/Eif4a3/Eif4g1/Khdrbs1/Zfp706/Habp4/Ddx6/Rbm8a/Cnbp/Etf1/Ncbp2/Ilf3/App/Paip2/Eif3d/Dhx36/Tob1/Bzw2/Cnot7/Calr/Pink1/Sh3bgrl/Eif4g2/Fxr1/Eif5/Btg2/Lsm14a/Rack1/Pcbp1/Upf3b/Cnot6/C1qbp/Casc3",52
"GO:0034728","nucleosome organization","23/882","78/20191",0.294871794871795,6.75029071457643,10.8747989591803,1.41318543932146e-13,5.82103929596868e-11,5.17536906821363e-11,"Ssrp1/Hp1bp3/Nap1l4/Dnajc9/Smarcc2/Rbbp4/Asf1a/Anp32b/Supt16/Macroh2a1/H1f0/Supt6/Macroh2a2/Atrx/Brd2/Smarcd1/Tspyl4/Smarcc1/Chd1/Rsf1/Smarcb1/Smarca5/Nap1l5",23
"GO:0006457","protein folding","33/882","180/20191",0.183333333333333,4.19691987906274,9.20780618990214,2.18523460331666e-12,8.2510816563565e-10,7.33587090078322e-10,"Hsp90b1/Cct6a/Ccdc47/Canx/Hsp90ab1/Hspa4/Hspd1/Ppig/Dnajc7/Hspa5/Dnajb11/Clu/Cct2/Cdc123/Ppib/Bag1/P4hb/Dnaja2/Cdc37/Ppid/St13/Calr/Cdc37l1/Pfdn4/Pdia3/Dnajb4/Hspa9/Dnajc5/Cct8/Pdrg1/Pdcl3/Cct7/Fkbp2",33
"GO:0022613","ribonucleoprotein complex biogenesis","54/882","443/20191",0.121896162528217,2.79048233288801,8.14390885880287,9.17540270157281e-12,2.96955354577332e-09,2.6401703863849e-09,"Htatsf1/Eif3c/Ncl/Luc7l3/Ddx46/Pa2g4/Eif3a/Ddx42/Rsrp1/Nop58/Hsp90ab1/Glul/Ythdc1/Rrp1/Las1l/Utp3/Snrpd3/Luc7l/Esf1/Psip1/Eif5b/Dhx9/Lyar/Gnl3l/Eif4a3/Prpf4b/Nol7/Sf3b1/Zrsr2/Prpf6/Gtpbp4/Prpf19/Denr/Rbm5/Ddx17/Eif3d/Wbp11/Prpf39/Utp11/Frg1/Sbds/Scaf11/Eif1ax/Strap/Eif5/Snrnp200/Wdr75/Nop56/Eif3h/Mettl16/Eif3i/C1qbp/Gtf2h5/Srpk1",54
"GO:0006403","RNA localization","31/882","172/20191",0.180232558139535,4.12593603332806,8.79925049258241,1.61094232419758e-11,4.86611978062617e-09,4.32636931558186e-09,"Hnrnpa2b1/Hnrnpu/Hnrnpab/Nop58/Ythdc1/Fyttd1/Phax/Ybx1/Ssb/G3bp2/Cetn3/Fmr1/Dhx9/Tpr/Eif4a3/Khdrbs1/Eny2/Prpf6/Thoc2/Rbm8a/Cct2/Ncbp2/Supt6/Senp2/Akap8l/Thoc7/Dhx36/Yy1/Mrpl18/Fxr1/Casc3",31
"GO:0000956","nuclear-transcribed mRNA catabolic process","25/882","120/20191",0.208333333333333,4.76922713529856,8.85076861844999,5.83814088224118e-11,1.65328852108968e-08,1.46990560239059e-08,"Pabpc1/Xrn2/Hnrnpu/Hnrnpab/Thrap3/Upf3a/Hnrnpd/Ybx1/Ssb/Gspt1/Dhx9/Eif4a3/Rbm8a/Etf1/Ncbp2/Dhx36/Tob1/Cnot7/Pnrc1/Ddx5/Skic8/Btg2/Upf3b/Cnot6/Casc3",25
"GO:1902459","positive regulation of stem cell population maintenance","16/882","50/20191",0.32,7.32553287981859,9.57115095057953,1.87317390802152e-10,4.99255939837971e-08,4.43878423900827e-08,"Ing2/Rbbp4/Hdac2/Rbbp7/Zfp322a/Arid4a/Tet1/Brms1l/Smarcd1/Actb/Lbh/Smarcc1/Arid4b/Suds3/Smarcb1/Bcl7b",16
"GO:0006334","nucleosome assembly","17/882","60/20191",0.283333333333333,6.48614890400605,9.0956366406299,4.34843051952173e-10,1.03698624652384e-07,9.21963634249842e-08,"Ssrp1/Hp1bp3/Nap1l4/Dnajc9/Rbbp4/Asf1a/Anp32b/Supt16/Macroh2a1/H1f0/Macroh2a2/Atrx/Brd2/Tspyl4/Rsf1/Smarca5/Nap1l5",17
"GO:0071824","protein-DNA complex organization","30/882","189/20191",0.158730158730159,3.63369686498938,7.77468027450791,8.58368313189904e-10,1.94463341353173e-07,1.72893449188303e-07,"Ssrp1/Hp1bp3/Nap1l4/Dnajc9/Smarcc2/Rbbp4/Asf1a/Med19/Anp32b/Brf1/Supt16/Macroh2a1/H1f0/Supt6/Macroh2a2/Atrx/Brd2/Smarcd1/Tspyl4/Taf3/Med4/Smarcc1/Chd1/Rsf1/Sugt1/Gtf2b/Gtf2h5/Smarcb1/Smarca5/Nap1l5",30
"GO:0022618","protein-RNA complex assembly","29/882","180/20191",0.161111111111111,3.68820231796422,7.74259189451977,1.14641572062466e-09,2.25843896963058e-07,2.00793270610095e-07,"Htatsf1/Eif3c/Luc7l3/Ddx46/Eif3a/Ddx42/Rsrp1/Hsp90ab1/Ythdc1/Snrpd3/Luc7l/Psip1/Dhx9/Prpf4b/Sf3b1/Zrsr2/Prpf6/Prpf19/Denr/Rbm5/Eif3d/Prpf39/Scaf11/Strap/Eif5/Snrnp200/Eif3h/Eif3i/Srpk1",29
"GO:0071826","protein-RNA complex organization","29/882","189/20191",0.153439153439153,3.5125736361564,7.41712417512885,3.65609886900479e-09,6.13547554646693e-07,5.45492802014867e-07,"Htatsf1/Eif3c/Luc7l3/Ddx46/Eif3a/Ddx42/Rsrp1/Hsp90ab1/Ythdc1/Snrpd3/Luc7l/Psip1/Dhx9/Prpf4b/Sf3b1/Zrsr2/Prpf6/Prpf19/Denr/Rbm5/Eif3d/Prpf39/Scaf11/Strap/Eif5/Snrnp200/Eif3h/Eif3i/Srpk1",29
"GO:0141188","nucleic acid catabolic process","40/882","327/20191",0.122324159021407,2.80028015283585,7.01460430547346,4.25467857018814e-09,6.88498164340087e-07,6.12129883011654e-07,"Pabpc1/Xrn2/Hnrnpu/Hnrnpab/Thrap3/Upf3a/Hnrnpd/Phax/Ybx1/Ssb/Hnrnpc/Grsf1/Gspt1/Fmr1/Brf1/Dhx9/Eif4a3/Rbm8a/Etf1/Ncbp2/Tardbp/Ttc5/Tut7/Wdr82/Dhx36/Tob1/Cnot7/Angel2/Zcchc17/Slirp/Fxr1/Fus/Pnrc1/Ddx5/Skic8/Btg2/Mettl16/Upf3b/Cnot6/Casc3",40
"GO:0051168","nuclear export","27/882","168/20191",0.160714285714286,3.67911807580175,7.45254286200487,4.51701866337308e-09,7.0574522633598e-07,6.27463899264202e-07,"Hnrnpa2b1/Ythdc1/Fyttd1/Phax/Cdkn1b/Ssb/Fmr1/Anp32b/Dhx9/Tpr/Eif4a3/Prpf4b/Khdrbs1/Ptpn11/Eny2/Rangap1/Thoc2/Txn1/Rbm8a/Nemf/Ncbp2/Supt6/Akap8l/Thoc7/Calr/Hspa9/Casc3",27
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","49/882","454/20191",0.107929515418502,2.47075379344102,6.77407333368119,5.46636996536363e-09,8.25604077102087e-07,7.34027994998127e-07,"Psmc1/Hsp90ab1/Skp1/Ufl1/Csnk1a1/Clu/Nsfl1c/Psma5/Nemf/Anapc5/Psmd4/Spop/Commd1/Psma6/Psmd6/Psma7/Psmc2/Ubxn2a/Wdr26/Ube2b/Nub1/Psmc5/Cul5/Pcbp2/Csnk1e/Sh3bgrl/Psmd7/Ddrgk1/Cul1/Klhl5/Smarcc1/Ube2k/Klhl23/Psma2/Anapc4/Trib2/Rack1/Bfar/Gid8/Eif3h/Anapc16/Psmd2/Psmb4/Dda1/Tlk2/Klhdc2/Psma4/Psmc4/Psmb6",49
