"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006397","mRNA processing","134/1104","487/20191",0.275154004106776,5.03227762402167,21.6631479831389,6.82726769299584e-58,3.39861385757333e-54,3.0643652045194e-54,"Htatsf1/Pnn/Cwc22/Hnrnpa2b1/Luc7l3/Safb/Ik/Ncl/Hnrnpu/Dhx9/Pabpc1/Slu7/Rbm17/Acin1/Prpf38b/Rnpc3/Grsf1/Srrt/Ybx1/Snw1/Thrap3/Psip1/Sf3b2/Ncbp2/Ddx42/Luc7l/Zc3h13/Paf1/Fam50a/Srrm1/Rnmt/Smndc1/Cpsf2/Cwc15/Leo1/Cdc5l/Sart1/Ddx1/Ddx23/Ythdc1/Prpf4b/Rbm25/Srrm2/Hnrnpc/Snrnp70/Nsrp1/Wbp4/Wbp11/Rsrp1/Rbm42/Sugp1/Srsf4/Prpf40b/Pqbp1/Smn1/Snrpd3/Safb2/Rrp1b/Syf2/Prpf4/Sf3b1/Prkrip1/Ilf3/Thoc7/Tcerg1/Cstf2t/Upf3a/Mettl14/Hnrnpm/Zmat2/Eif4a3/Prpf19/Xrn2/Ppp1r8/Fip1l1/Zranb2/Kin/Hnrnph1/Rbm8a/Cwc25/Ddx46/Ddx17/Tardbp/Srpk1/Prmt5/Prpf39/Mtrex/Zcchc8/Magoh/Smu1/Iws1/Rbbp6/Zrsr2/Zfp326/Rbm22/Frg1/Ddx5/Rbm28/Paxbp1/Rbm5/Sfpq/Dhx15/Rbmx/Sf3a3/BC005624/Fmr1/Arglu1/Hnrnpl/Srsf3/Habp4/Ncbp1/Angel2/Hnrnpul2/Trmt6/Akap8l/Ppie/Supt6/Arl6ip4/Khdrbs1/Syncrip/Ddx39b/Dhx36/Bud31/Snrpa1/Rbm39/Ncbp3/Tra2a/Tsen15/Sde2/Slirp/Crnkl1/Upf3b/Ddx47/Snrpb2",134
"GO:0022613","ribonucleoprotein complex biogenesis","92/1104","443/20191",0.207674943566591,3.79815650865312,14.3217525378304,2.40668625549113e-29,1.99674736330581e-26,1.80037020937091e-26,"Htatsf1/Luc7l3/Rrp1/Eif3d/Eif3c/Ncl/Dhx9/Dnttip2/Slu7/Gnl2/Pa2g4/Nop58/Utp3/Psip1/Ddx42/Luc7l/Nup88/Ddx21/Hsp90ab1/Nol7/Eif3a/Las1l/Sart1/Esf1/Ythdc1/Dkc1/Prpf4b/Rpl7l1/Wbp11/Ebna1bp2/Rsrp1/Eif5b/Utp14a/Smn1/Snrpd3/Znhit6/Rrp1b/Sf3b1/Bms1/Gnl3l/Eif4a3/Prpf19/Mphosph10/Lyar/Ddx46/Ddx17/Glul/Srpk1/Prmt5/Pak1ip1/Utp11/Prpf39/Cinp/Wdr3/Mtrex/Krr1/Ltv1/Usp16/Ddx3x/Nop56/Ngdn/Ddx52/Nol11/Dhx29/Zrsr2/Nip7/Frg1/Cul4a/Eif5/Eif3i/Rbm5/Fcf1/Rbm34/Rbmx/Sf3a3/Nufip1/Sbds/Denr/Ncbp1/Brix1/Exosc9/Tsr2/Ddx39b/Sde2/Mrps7/Srfbp1/Wdr43/Gtpbp4/Rpf1/Crnkl1/Ddx47/Eif1ax",92
"GO:0006457","protein folding","45/1104","180/20191",0.25,4.57223731884058,11.577799362258,3.34106437906121e-18,1.66318184789667e-15,1.49961036971758e-15,"Cct6a/Dnajc2/Hsp90b1/Hsph1/Hsp90ab1/Ccdc47/P4hb/Ttc4/Canx/Ppib/Dnajc7/Dnajc10/Mesd/Hspd1/Cdc123/Ppig/Hspa4/Hspa5/Pdcl/Dnaja2/Bag1/Pdcl3/Dnajb1/St13/Cct2/Calr/Clu/Bag5/Cct8/Cdc37l1/Cct4/Cct5/Cdc37/Pdia3/Ppie/Cct7/Sh3glb1/Hspa14/Dnaja1/Hspa13/Sdf2/Hspa9/Ppid/Tbce/Dnajb11",45
"GO:0006403","RNA localization","40/1104","172/20191",0.232558139534884,4.25324401752612,10.3048940969478,3.57672042080508e-15,1.36960878882828e-12,1.23490978739375e-12,"Hnrnpa2b1/Hnrnpab/Hnrnpu/Dhx9/G3bp2/Ybx1/Ssb/Nop58/Ncbp2/Nup88/Ythdc1/Dkc1/Phax/Mrpl18/Fyttd1/Sec13/Znhit6/Thoc7/Eif4a3/Rbm8a/Magoh/Cct2/Iws1/Tpr/Rae1/Yy1/Kpnb1/Cct4/Cetn3/Fmr1/Srsf3/Ncbp1/Akap8l/Supt6/Khdrbs1/Caprin1/Ddx39b/Dhx36/Ncbp3/Eny2",40
"GO:0016072","rRNA metabolic process","49/1104","251/20191",0.195219123505976,3.57035264738149,9.85486898489415,4.94691277315301e-15,1.75898084176826e-12,1.58598767403943e-12,"Ubtf/Rrp1/Ncl/Pa2g4/Polr1g/Utp3/Ddx21/Nol7/Las1l/Macroh2a2/Sart1/Esf1/Dkc1/Rpl7l1/Wbp11/Ebna1bp2/Utp14a/Znhit6/Rrp1b/Bms1/Top1/Trp53/Eif4a3/Mphosph10/Lyar/Ddx17/Pak1ip1/Utp11/Wdr3/Mtrex/Krr1/Macroh2a1/Ngdn/Ddx52/Nol11/Frg1/Fcf1/Rbm34/Sbds/Brix1/Exosc9/Tsr2/Sde2/Srfbp1/Wdr43/Gtpbp4/Rpf1/Smarca4/Ddx47",49
"GO:0006417","regulation of translation","58/1104","349/20191",0.166189111747851,3.03942423487397,9.24296750151501,2.78089296717113e-14,9.22885679371858e-12,8.32121235931065e-12,"Eif3d/Ncl/Hnrnpu/Dhx9/Pabpc1/Nolc1/Bzw1/Sars1/Pa2g4/Ybx1/Ssb/Nanos1/Ncbp2/Serbp1/Hnrnpd/Eprs1/Paip2/Abcf1/Eif5b/Eif4e2/Etf1/Ilf3/Upf3a/Mettl14/Eif4a3/Rbm8a/Cnot8/Cnot7/Magoh/Sh3bgrl/Usp16/App/Ddx3x/Eif4g1/Calr/Ddx6/Ngdn/Tpr/Dhx29/Zfp706/Eif5/Cnbp/Cdk4/Fmr1/Habp4/Ncbp1/Eif2ak1/Guf1/Tob1/Khdrbs1/Syncrip/Caprin1/Ddx39b/Mrpl13/Dhx36/Sox4/Upf3b/Cnot6",58
"GO:0006354","DNA-templated transcription elongation","32/1104","121/20191",0.264462809917355,4.8367469157983,10.180427396448,4.44876836218217e-14,1.38412305668393e-11,1.24799659844374e-11,"Ubtf/Hnrnpu/Eloa/Ncbp2/Parp1/Paf1/Med17/Gtf2f1/Leo1/Supt16/Med19/Ctr9/Elp2/Rnf168/Ldb1/Iws1/Med4/Rtf1/Zfp326/Glyr1/Ncbp1/Wdr82/Adrm1/Supt6/Eapp/Wdr43/Zmynd11/Supt5/Med24/Eny2/Med10/Rnf8",32
"GO:0006364","rRNA processing","42/1104","213/20191",0.197183098591549,3.60627168809961,9.1963892065722,3.13085478902543e-13,8.20283954724662e-11,7.39610239357586e-11,"Rrp1/Ncl/Pa2g4/Utp3/Ddx21/Nol7/Las1l/Sart1/Esf1/Dkc1/Rpl7l1/Wbp11/Ebna1bp2/Utp14a/Znhit6/Rrp1b/Bms1/Eif4a3/Mphosph10/Lyar/Ddx17/Pak1ip1/Utp11/Wdr3/Mtrex/Krr1/Ngdn/Ddx52/Nol11/Frg1/Fcf1/Rbm34/Sbds/Brix1/Exosc9/Tsr2/Sde2/Srfbp1/Wdr43/Gtpbp4/Rpf1/Ddx47",42
"GO:0022618","protein-RNA complex assembly","38/1104","180/20191",0.211111111111111,3.86100040257649,9.27264503443483,4.58252424799994e-13,1.1021931056502e-10,9.93794041676524e-11,"Htatsf1/Luc7l3/Eif3d/Eif3c/Dhx9/Slu7/Psip1/Ddx42/Luc7l/Hsp90ab1/Eif3a/Ythdc1/Dkc1/Prpf4b/Rsrp1/Smn1/Snrpd3/Znhit6/Sf3b1/Prpf19/Ddx46/Srpk1/Prmt5/Prpf39/Dhx29/Zrsr2/Eif5/Eif3i/Rbm5/Rbmx/Sf3a3/Nufip1/Denr/Ncbp1/Brix1/Ddx39b/Mrps7/Crnkl1",38
"GO:0071826","protein-RNA complex organization","39/1104","189/20191",0.206349206349206,3.77391016793191,9.21447174203515,4.87108242754206e-13,1.1021931056502e-10,9.93794041676524e-11,"Htatsf1/Luc7l3/Eif3d/Eif3c/Dhx9/Slu7/Psip1/Ddx42/Luc7l/Hsp90ab1/Eif3a/Ythdc1/Dkc1/Prpf4b/Rsrp1/Smn1/Snrpd3/Znhit6/Sf3b1/Prpf19/Ddx46/Srpk1/Prmt5/Prpf39/Dhx29/Zrsr2/Eif5/Eif3i/Rbm5/Rbmx/Sf3a3/Nufip1/Kif5b/Denr/Ncbp1/Brix1/Ddx39b/Mrps7/Crnkl1",39
