"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","RNA splicing","38/241","438/20191",0.0867579908675799,7.26859167471911,14.5779258103708,6.44894037038917e-22,1.82698480693125e-18,1.6156292717396e-18,"Pnn/Hnrnpa2b1/Ybx1/Cdk11b/Luc7l3/Ncl/Thoc7/Hnrnpu/Psip1/Rsrp1/Ik/Prpf4b/Acin1/Sf3b2/Sfpq/Htatsf1/Rbm25/Hnrnph1/Zranb2/Rnpc3/Fus/Srrm2/Srrm1/Sf3b1/Ddx5/Rbm39/Ythdc1/Snrnp70/Clk1/Ddx17/Snrpb/Arglu1/Upf3b/Hnrnpc/Son/Tra2a/Ubl5/Srsf5",38
"GO:0006119","oxidative phosphorylation","15/241","148/20191",0.101351351351351,8.49122462711674,10.0532745932385,2.95708634788968e-10,9.30825069285718e-08,8.23142164675724e-08,"Atp5f1c/Atp5f1a/Atp5f1b/Atp5pb/Cox6a1/Ndufc2/Ndufa5/Chchd2/Cox7b/mt-Nd5/Cox4i1/Ndufb3/Atp5if1/Uqcrq/Ndufa6",15
"GO:0015986","proton motive force-driven ATP synthesis","11/241","71/20191",0.154929577464789,12.9800128572263,11.1141870358214,7.60250651206907e-10,2.15379009486917e-07,1.90462794723414e-07,"Atp5f1c/Atp5f1a/Atp5f1b/Atp5pb/Atp5mc3/Ndufc2/Ndufa5/mt-Nd5/Ndufb3/Atp5if1/Ndufa6",11
"GO:0009060","aerobic respiration","16/241","194/20191",0.0824742268041237,6.90969756598366,9.09052422432332,1.59655569141792e-09,4.1118566125336e-07,3.63617468476042e-07,"Atp5f1c/Atp5f1a/Atp5f1b/Atp5pb/Mdh1/Cox6a1/Ndufc2/Ndufa5/Chchd2/Cox7b/mt-Nd5/Cox4i1/Ndufb3/Atp5if1/Uqcrq/Ndufa6",16
"GO:0046390","ribose phosphate biosynthetic process","14/241","184/20191",0.0760869565217391,6.37457153166156,8.04946476331392,4.77111258820476e-08,6.14389180108367e-06,5.43313299518054e-06,"Atp5f1c/Atp5f1a/Atp5f1b/Atp5pb/Atp5mc3/Ndufc2/Ndufa5/mt-Nd5/Nme1/Ndufb3/Gucy1b1/Atp5if1/Ndufa6/Gucy1a1",14
"GO:0046034","ATP metabolic process","14/241","241/20191",0.0580912863070539,4.86689278765861,6.63749845717476,1.2930624891511e-06,0.000118169226831131,0.000104498768223417,"Atp5f1c/Atp5f1a/Eno2/Atp5f1b/Atp5pb/Atp5mc3/Ndufc2/Ndufa5/App/mt-Nd5/Ndufb3/Atp5if1/Tpi1/Ndufa6",14
"GO:0009150","purine ribonucleotide metabolic process","17/241","356/20191",0.047752808988764,4.00073429996736,6.27829430161571,1.44283045511635e-06,0.000127735583729519,0.000112958436946609,"Atp5f1c/Atp5f1a/Eno2/Atp5f1b/Atp5pb/Atp5mc3/Ndufc2/Ndufa5/App/mt-Nd5/Nme1/Ndufb3/Gucy1b1/Atp5if1/Tpi1/Ndufa6/Gucy1a1",17
"GO:0022618","protein-RNA complex assembly","12/241","180/20191",0.0666666666666667,5.58533886583679,6.79170046223089,1.80371324692127e-06,0.000154846049349332,0.000136932616512684,"Luc7l3/Eif3c/Psip1/Rsrp1/Prpf4b/Hsp90ab1/Htatsf1/Eif3a/Sf3b1/Ythdc1/Snrpb/Rps14",12
"GO:0071826","protein-RNA complex organization","12/241","189/20191",0.0634920634920635,5.31937034841599,6.55722164786285,3.00176432546392e-06,0.000236222175945536,0.000208894710368542,"Luc7l3/Eif3c/Psip1/Rsrp1/Prpf4b/Hsp90ab1/Htatsf1/Eif3a/Sf3b1/Ythdc1/Snrpb/Rps14",12
"GO:0006417","regulation of translation","16/241","349/20191",0.0458452722063037,3.84092071003103,5.88415811581599,4.9793983949088e-06,0.000352679132505697,0.000311879293054994,"Calr/Ssb/Ybx1/Ncl/Hnrnpu/Cnbp/Serbp1/Hnrnpd/Tpr/Rack1/App/Paip2/Rps14/Abcf1/Upf3b/Aplp1",16
