"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140242","translation at postsynapse","42/2369","48/20191",0.875,7.45762980160405,16.3306757913714,3.56367153933944e-33,1.05502495922144e-29,8.88854706575242e-30,"Rps28/Rpl37/Rpl37a/Rps15a/Rpl35a/Rpl34/Rplp2/Rps11/Rpl26/Rpl6/Rpl23a/Rpl35/Rpl36a/Rpl36/Rpl38/Rpl32/Uba52/Rpl13/Rpl7/Rpl23/Rpl5/Rpl27a/Rpl15/Rps16/Rps10/Rpl12/Rps27/Rpl24/Rpl27/Rpl7a/Rps24/Rpl10a/Rpl17/Rps12/Eef2/Rps5/Rpl9/Rpl14/Rps27a/Rpl10/Rpl28/Rpl8",42
"GO:0050803","regulation of synapse structure or activity","113/2369","400/20191",0.2825,2.40774905023217,10.3679725676212,1.14705177965781e-19,1.35833871747077e-16,1.1443954492207e-16,"Grid2/Usp9x/Dnm3/Drd2/Ppp1r9b/Slc17a7/Nectin1/Ctnna2/Ube3b/Prickle2/Pum2/Nectin3/Dctn1/Cask/Adnp/Cpeb3/Mecp2/Rapgef2/Mdga1/Prickle1/Epha7/Neurl1a/Cdh2/Ppp1r9a/Magi2/Rps6ka5/Farp1/Ogt/Kalrn/Adgrb3/Stau2/Dip2a/Il1rap/Ptk2/Ptprd/Ntng2/Tsc2/Tanc1/Sipa1l1/Sybu/Ppfia2/Lrrtm4/Nrg1/Dock1/Pten/Adgrl2/Asap1/Mapk14/Shank2/Clstn2/Abl1/Lrfn2/Nf1/Clstn1/Negr1/Prkca/Snap91/Sema4d/Numb/Ube2v2/Mdga2/Akt1/Grin1/Itsn1/Abhd17c/Grid1/Dab1/Cyfip2/Arhgap44/Ptprs/Picalm/Iqsec2/Gpr158/Tiam1/Dlgap4/Slit2/Dlg5/Adam10/Asic2/Iqsec1/Ntrk2/Pak3/Lrfn3/Cux2/Amigo1/Cdkl5/Cyfip1/Cln3/Homer1/Nrxn1/Rock1/Srgap2/Adgrl1/Vangl2/Ago2/Fyn/Ephb2/Syngap1/Zmynd8/Psen1/Hspa8/Srcin1/Mark2/Mfn2/Rhoa/Slc12a5/Mark1/Setd5/Lin7a/Malat1/Mef2c/Zdhhc17/Ube2m",113
"GO:0050807","regulation of synapse organization","110/2369","392/20191",0.280612244897959,2.39165970313833,10.1444131386148,6.15221920974232e-19,6.07121499014738e-16,5.11497663771383e-16,"Grid2/Usp9x/Dnm3/Drd2/Ppp1r9b/Nectin1/Ctnna2/Ube3b/Prickle2/Pum2/Nectin3/Dctn1/Cask/Adnp/Cpeb3/Mecp2/Rapgef2/Mdga1/Prickle1/Epha7/Neurl1a/Cdh2/Ppp1r9a/Magi2/Rps6ka5/Farp1/Ogt/Kalrn/Adgrb3/Stau2/Dip2a/Il1rap/Ptk2/Ptprd/Ntng2/Tsc2/Tanc1/Sipa1l1/Ppfia2/Lrrtm4/Nrg1/Dock1/Pten/Adgrl2/Asap1/Mapk14/Shank2/Clstn2/Abl1/Lrfn2/Nf1/Clstn1/Negr1/Prkca/Snap91/Sema4d/Numb/Ube2v2/Mdga2/Akt1/Grin1/Itsn1/Abhd17c/Grid1/Dab1/Cyfip2/Arhgap44/Ptprs/Picalm/Iqsec2/Gpr158/Tiam1/Dlgap4/Slit2/Dlg5/Adam10/Asic2/Iqsec1/Ntrk2/Pak3/Lrfn3/Cux2/Amigo1/Cdkl5/Cyfip1/Cln3/Homer1/Nrxn1/Rock1/Srgap2/Adgrl1/Vangl2/Ago2/Fyn/Ephb2/Zmynd8/Psen1/Hspa8/Srcin1/Mark2/Mfn2/Rhoa/Slc12a5/Mark1/Setd5/Lin7a/Malat1/Mef2c/Zdhhc17/Ube2m",110
"GO:0016358","dendrite development","96/2369","329/20191",0.291793313069909,2.4869560085245,9.91418572758356,6.33891767006042e-18,5.36181878920397e-15,4.51731290803253e-15,"Dnm3/Ppp1r9b/Ctnna2/Camk1d/Tnik/Fbxw8/Cask/Mapk8/Cpeb3/Mecp2/Rapgef2/Hecw1/Prickle1/Crtc1/Neurl1a/Ppp1r9a/Arid1b/Trak1/Farp1/Rere/Kalrn/Adgrb3/Stau2/Dip2a/Ptprd/Tsc2/Sipa1l1/Ppfia2/Shank1/Ppp3ca/Ctnnd2/Pten/Asap1/Csmd3/Mtor/Abl1/Strn/Sema4d/Numb/Klf7/Prkg1/Grin1/Itsn1/Dab1/Atp7a/Sdk1/Cux1/Arhgap44/Mink1/Ptprs/Rab21/Picalm/Tiam1/Myo6/Gpx4/Mapkapk5/Dlg5/Nck2/Crebbp/Gsk3a/Adam10/Iqsec1/Uba6/Ntrk2/Pak3/Btbd3/Kidins220/Cux2/Cdkl5/Cyfip1/Hecw2/Mpdz/Abl2/Srgap2/Dynlt1a/Git1/Fyn/Dpysl5/Cacna1f/Ephb2/Crkl/Syngap1/Zmynd8/Psen1/Trak2/Srcin1/Mfn2/Rhoa/Slc12a5/Pacsin1/Cacna1a/Mark1/Carm1/Ywhah/Fstl4/Mef2c",96
"GO:0099173","postsynapse organization","90/2369","312/20191",0.288461538461538,2.45855927525408,9.4662197864448,1.52658078894865e-16,1.12986060642062e-13,9.51903468266794e-14,"Grid2/Usp9x/Dnm3/Ppp1r9b/Ube3b/Iqsec3/Prickle2/Pum2/Nectin3/Cask/Cpeb3/Insr/Prickle1/Epha7/Neurl1a/Cdh2/Ppp1r9a/Magi2/Rps6ka5/Farp1/Kalrn/Stau2/Dip2a/Il1rap/Ophn1/Arhgap39/Ptprd/Ntng2/Tsc2/Tanc1/Igf1r/Sipa1l1/Ppfia2/Lrrtm4/Dock1/Shank1/Nrxn3/Ctnnd2/Pten/Gphn/Asap1/Sh3gl2/Shank2/Abl1/Lrfn2/Cadm1/Sorbs1/Nf1/Dock7/Numb/Akt1/Grin1/Itsn1/Abhd17c/Dlg1/Grid1/Ssh1/Cyfip2/Arhgap44/Ptprs/Tiam1/Dlg5/Arhgef7/Adam10/Dlg2/Asic2/Glrb/Wasf2/Pak3/Cux2/Myo9a/Cdkl5/Homer1/Stk38l/Nrxn1/Abl2/Fyn/Ephb2/Crkl/Syngap1/Zmynd8/Psen1/Hspa8/Srcin1/Mark2/Mfn2/Slc12a5/Grip2/Mark1/Ube2m",90
"GO:0007264","small GTPase-mediated signal transduction","111/2369","437/20191",0.254004576659039,2.16488240072717,8.97568799984754,1.14163145019323e-15,7.51066646288238e-13,6.32770928943361e-13,"Scai/Ralgapa1/Vav2/Sipa1l3/Arhgap35/Iqsec3/Psd3/Rb1/Nckap1/Cavin4/Camk2d/Dock9/Rapgef2/Rapgef5/Ksr2/Ksr1/Dennd1a/Arhgef11/Rsu1/Cyrib/Cdh2/Dennd4c/Dock3/Ralgapb/Bcr/Farp1/Ogt/Arhgap32/Arfgef1/Ophn1/Tsc2/Rit2/Rasgrf2/Cdc42bpa/Sipa1l1/Itgav/Arfgef2/Rapgef6/Ralgapa2/Nrg1/Dock1/Rab30/Arhgap24/Akap13/Dennd4a/Sos2/Garre1/Dgki/Pecam1/Abl1/Nf1/Dock7/Notch2/Sema4d/Itpkb/Itsn1/Auts2/Dab1/Gbf1/Ccdc88c/Rapgef1/Cul3/A930011G23Rik/Rap1gap/Farp2/Arhgap44/Chm/Sos1/Arhgef12/Ralgps1/Rab21/Picalm/Chn1/Arhgap15/Iqsec2/Cbl/Gna12/Tiam1/Slit2/Mapkapk5/Cdon/Arhgef7/Nisch/Abca1/Iqsec1/Wasf2/Arhgef18/Cyfip1/Arhgef28/Abl2/Rock1/Synj2bp/Dynlt1a/Vangl2/Git1/Nras/Ephb2/Crkl/Syngap1/Dnm2/Git2/Myo9b/Pik3cb/Arfgef3/Mfn2/Rhoa/Rab3gap1/Phactr4/Eps8l1/Rhoq/Dennd4b",111
"GO:0099003","vesicle-mediated transport in synapse","87/2369","318/20191",0.273584905660377,2.33176565225356,8.72734458353291,1.51943357644743e-14,8.99656620614525e-12,7.57957444082567e-12,"Syn1/Cacna1b/Dnm3/Dnajc6/Slc17a7/Stxbp5l/Mapk10/Sgip1/Cask/Erc2/Syn3/Amph/Atp8a1/Rims1/Ap2a2/Sv2b/Cltc/Dennd1a/Cblb/Cdh2/Ap3s1/Magi2/Bsn/Ophn1/Rimbp2/Syt9/Snx9/Unc13b/Cadps/Bcl2l1/Ppfia2/Lrp1/Nrg1/Prkn/Rims2/Snap23/Pten/Mkln1/Sh3gl2/Clstn1/Prkca/Snap91/Ston2/Fbxl20/Numb/Bltp1/Cacna1d/Pclo/Itsn1/Eps15l1/Ap2a1/Unc13a/Ap2b1/Sacm1l/Stxbp5/Erc1/Picalm/Btbd9/Braf/Myo6/Aak1/Iqsec1/Vamp2/Cyfip1/Ap2m1/Pls3/Nrxn1/Syt1/Rock1/Git1/Atp6v1g1/Atp6v0a4/Dnm2/Psen1/Git2/Ppfia3/Efr3a/Grip2/Rab3gap1/Sncb/Hip1/Pacsin1/Cacna1a/Cplx2/Fcho2/Slc17a5/Ppp3cc",87
"GO:0007416","synapse assembly","82/2369","303/20191",0.270627062706271,2.3065559405244,8.35461108069142,1.65702222808299e-13,8.17602384373283e-11,6.88827047270640e-11,"Grid2/Usp9x/Dnm3/Drd2/Ppp1r9b/Nectin1/Ube3b/Prickle2/Pum2/Nectin3/Adnp/Cpeb3/Mecp2/Mdga1/Prickle1/Epha7/Neurl1a/Cdh2/Ppp1r9a/Magi2/Farp1/Gabrg3/Ogt/Adgrb3/Stau2/Sdk2/Bsn/Il1rap/Ptk2/Ptprd/Ntng2/Sipa1l1/Lrrtm4/Nrg1/Dock1/Nrxn3/Pten/Adgrl2/Gabrb3/Shank2/Clstn2/Abl1/Cadm1/Dock7/Clstn1/Negr1/Prkca/Sema4d/Numb/Ube2v2/Mdga2/Grin1/Pclo/Sdk1/Cyfip2/Gabra5/Ptprs/Iqsec2/Myo6/Slit2/Dlg5/Asic2/Iqsec1/Ntrk2/Lrfn3/Cux2/Amigo1/Nrxn1/Srgap2/Adgrl1/Ephb2/Crkl/Gria1/Srcin1/Rhoa/Slc12a5/Cacna1a/Mark1/Setd5/Lin7a/Mef2c/Ube2m",82
"GO:1901888","regulation of cell junction assembly","80/2369","307/20191",0.260586319218241,2.22097862867687,7.85955292990948,2.79339610870892e-12,1.05817589562109e-09,8.91509359078451e-10,"Grid2/Usp9x/Ppp1r9b/Nectin1/Ube3b/Clasp2/Prickle2/Pum2/Nectin3/Adnp/Cpeb3/Rapgef2/Mdga1/Peak1/Prickle1/Epha7/Neurl1a/Ppp1r9a/Farp1/Clasp1/Ogt/Fmn1/Adgrb3/Stau2/Il1rap/Ptk2/Ptprd/Ntng2/Limch1/Epb41l5/Sipa1l1/Lrrtm4/Lrp1/Nrg1/Dock1/Lims1/Pten/Adgrl2/Nphp4/Clstn2/Abl1/Clstn1/Negr1/Prkca/Sema4d/Numb/Ube2v2/Tjp1/Mdga2/Grin1/Smad3/Rapgef1/Cyfip2/Ptprs/Iqsec2/Slit2/Dlg5/Asic2/Iqsec1/Ntrk2/Lrfn3/Cux2/Amigo1/Nrxn1/Rock1/Srgap2/Dapk3/Adgrl1/Rps6/Ephb2/Vcl/Srcin1/Rhoa/Slc12a5/Mark1/Setd5/Lin7a/Mef2c/Ube2m/Tsc1",80
"GO:0031346","positive regulation of cell projection organization","105/2369","455/20191",0.230769230769231,1.96684742020327,7.605128263725,4.72657434967455e-12,1.64623804261312e-09,1.38694958780852e-09,"Avil/Map3k13/Dnm3/Camk1d/Arhgap35/Pum2/Tnik/Arsb/Fbxo38/Fig4/Fbxw8/Megf8/Dcc/Cask/Nckap1/Adnp/Crocc/Rapgef2/Htt/Atp8a2/Crtc1/Neurl1a/Ppp1r9a/Magi2/Nox1/Trak1/Arhgap32/Kalrn/Stau2/Robo2/Hdac4/Bmpr2/Tox/Ptprd/Tsc2/Retreg3/Igf1r/Rit2/Lrp1/Nrg1/Mtor/Abl1/Qki/Cdh4/Nf1/Negr1/Snap91/Sema4d/Numb/Ube2v2/Lrp6/Smurf1/Grin1/Cbfa2t2/Tenm3/Cntn1/Ryk/Pla2g3/Auts2/Rab8b/Prkd1/Ap2a1/Cpeb1/Atp7a/Sirt1/Rapgef1/Cux1/Akirin1/Rab21/Picalm/Ep300/Tiam1/Braf/Arap1/Lyn/Wasf2/Ntrk2/Mark4/Pak3/Kidins220/Cux2/Tgfbr1/Amigo1/Cdkl5/Cyfip1/Plekhm1/Nrxn1/Abl2/Dynlt1a/Fyn/Rab11fip3/Ephb2/Zmynd8/Dnm2/Ndel1/Mark2/Mfn2/Kif3c/Cep120/Pacsin1/Mob2/Eps8l1/Fxn/Rhoq/Creb3l2",105
