"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","58/721","166/20191",0.349397590361446,9.78458633424126,21.8696540505827,9.72237514486948e-42,4.26423373853975e-38,3.6054660668816e-38,"Rps25/Rpl41/Rps28/Rpl31/Rpl35a/Rpl37a/Rpl23a/Rps18/Cpeb3/Rps29/Rps17/Rpl6/Rpl35/Rpl38/Rpl37/Rpl5/Rpl34/Uba52/Rps19/Rpl36/Rpl18a/Rps8/Rpl13/Rps23/Rpl36a/Rpl39/Rpl3/Rpl11/Rps13/Rpl15/Rpl27/Rpl17/Rpl24/Rpl18/Rps12/Rpl27a/Rps6/Rps16/Rps4x/Fau/Rpl7/Rpl29/Rplp2/Rpl12/Rps15a/Rpl19/Rpl7a/Rpl28/Rps11/Rpl23/Rps27a/Eif3j1/Rpl21/Rpl30/Rpsa/Rpl22l1/Rps7/Rpl10a",58
"GO:0007416","synapse assembly","44/721","303/20191",0.145214521452145,4.06661082196985,10.3499258557088,2.0971605133455e-15,1.83962920230667e-12,1.55543083968762e-12,"Nrg1/Slit2/Erbb4/Nrxn1/Mdga2/Ptprd/Prickle2/Nrg2/Nrg3/Usp9x/Efna5/Dscam/Ptk2/Large1/Gabrb2/Nrxn3/Dock4/Prickle1/Negr1/Ptprs/Clstn2/Cpeb3/Grid2/Plxna4/Pclo/Gabrb3/Gabra5/Iqsec1/Adgrb3/Cyfip2/Cdh2/Elmo1/Ntng2/Sdk2/Cdh9/Bsn/Cux2/Ppp1r9a/Clstn1/Ube2v2/Cadm1/Magi2/Numb/Nlgn1",44
"GO:1901888","regulation of cell junction assembly","41/721","307/20191",0.133550488599349,3.73996936936123,9.30927445605188,3.37553581938311e-13,2.46751668396905e-10,2.08631801608538e-10,"Nrg1/Slit2/Nrxn1/Mdga2/Ptprd/Prickle2/Nrg2/Usp9x/Efna5/Ptk2/Dock4/Epha3/Prickle1/Fmn1/Negr1/Ptprs/Clstn2/Cpeb3/Grid2/Clasp1/Epb41l5/Iqsec1/Adgrb3/Cyfip2/Elmo1/Limch1/Ntng2/Cux2/Ppp1r9a/Rps6/Clstn1/Dlc1/Macf1/Ube2v2/Rapgef1/Rapgef2/Tjp1/Smad3/Numb/Nlgn1/Actg1",41
"GO:0099173","postsynapse organization","41/721","312/20191",0.131410256410256,3.68003396280095,9.18064393483938,5.79672182192236e-13,3.50744779212009e-10,2.96559353244512e-10,"Nrxn1/Ptprd/Prickle2/Usp9x/Sorbs2/Ctnnd2/Nrxn3/Nf1/Dock4/Prickle1/Zfp804a/Lrfn2/Epha5/Ptprs/Gphn/Tanc2/Cpeb3/Grid2/Grid1/Dlg2/Cyfip2/Cdh2/Elmo1/Asap1/Ntng2/Iqsec3/Abl2/Insr/Cux2/Ppp1r9a/Rps6ka5/Cask/Itsn1/Sorbs1/Cadm1/Ppfia2/Magi2/Numb/Cdkl5/Nlgn1/Shank1",41
"GO:0099560","synaptic membrane adhesion","16/721","43/20191",0.372093023255814,10.4201528884302,11.8995085170657,6.39753359255831e-13,3.50744779212009e-10,2.96559353244512e-10,"Nrg1/Nrxn1/Mdga2/Ptprd/Efna5/Ntng1/Cdh10/Tenm3/Epha3/Ptprs/Ntng2/Cdh9/Lrrc4c/Cadm1/Magi2/Nlgn1",16
"GO:0050803","regulation of synapse structure or activity","47/721","400/20191",0.1175,3.29048890429958,8.90383564128671,7.33230664264572e-13,3.57327743718268e-10,3.02125336865975e-10,"Nrg1/Slit2/Nrxn1/Mdga2/Ptprd/Prickle2/Nrg2/Usp9x/Efna5/Slc17a7/Ptk2/Nf1/Dock4/Ctnna2/Prickle1/Zfp804a/Lrfn2/Negr1/Ptprs/Tanc2/Clstn2/Cpeb3/Grid2/Grid1/Cdh8/Iqsec1/Adgrb3/Cyfip2/Cdh2/Elmo1/Asap1/Ntng2/Cux2/Ppp1r9a/Sybu/Clstn1/Ube2v2/Rapgef2/Gpr158/Rps6ka5/Cask/Itsn1/Ppfia2/Magi2/Numb/Cdkl5/Nlgn1",47
"GO:0050807","regulation of synapse organization","45/721","392/20191",0.114795918367347,3.21476336720541,8.52121559095126,5.13799983040815e-12,2.25352672561702e-09,1.90538667395031e-09,"Nrg1/Slit2/Nrxn1/Mdga2/Ptprd/Prickle2/Nrg2/Usp9x/Efna5/Ptk2/Nf1/Dock4/Ctnna2/Prickle1/Zfp804a/Lrfn2/Negr1/Ptprs/Tanc2/Clstn2/Cpeb3/Grid2/Grid1/Cdh8/Iqsec1/Adgrb3/Cyfip2/Cdh2/Elmo1/Asap1/Ntng2/Cux2/Ppp1r9a/Clstn1/Ube2v2/Rapgef2/Gpr158/Rps6ka5/Cask/Itsn1/Ppfia2/Magi2/Numb/Cdkl5/Nlgn1",45
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","33/721","226/20191",0.146017699115044,4.08910313846305,8.98679400820591,6.0578831811587e-12,2.41544323932382e-09,2.04228922939924e-09,"Nrg1/Fat3/Cntn6/Nrxn1/Mdga2/Ptprd/Fat4/Cdh18/Efna5/Ntng1/Cdh10/Dscam/Tenm3/Epha3/Cadm2/Ptprs/Robo2/Clstn2/Tenm2/Grid2/Dscaml1/Cdh8/Cdh2/Acvr1/Ntng2/Sdk2/Cdh9/Cdh11/Clstn1/Lrrc4c/Cadm1/Magi2/Nlgn1",33
"GO:0099558","maintenance of synapse structure","15/721","42/20191",0.357142857142857,10.0014860313057,11.2373763159987,6.82006960432787e-12,2.49273544038184e-09,2.10764080842518e-09,"Nrxn1/Prickle2/Rims1/Rims2/Prickle1/Erc2/Plxna4/Pclo/Dlg2/Adgrb3/Bsn/Erc1/Cadm1/Nlgn1/Shank1",15
"GO:0099003","vesicle-mediated transport in synapse","39/721","318/20191",0.122641509433962,3.43447256169366,8.42053225722299,1.86421084641213e-11,6.28956059412583e-09,5.31790673029143e-09,"Nrg1/Nrxn1/Rims1/Unc13b/Stxbp5l/Slc17a7/Amph/Rims2/Cadps/Erc2/Dennd1a/Aak1/Sv2b/Sgip1/Pclo/Iqsec1/Syt9/Stxbp5/Atp8a1/Cdh2/Bsn/Dnajc6/Gsg1l/Clstn1/Syn1/Bltp1/Cask/Itsn1/Ap2m1/Erc1/Btbd9/Unc13a/Ppfia2/Magi2/Numb/Nlgn1/Actg1/Cltc/Prkn",39
"GO:0051648","vesicle localization","32/721","223/20191",0.143497757847534,4.01853429778024,8.72236142581682,2.03224689900079e-11,6.36673921358392e-09,5.38316227457128e-09,"Nrxn1/Rims1/Unc13b/Cadps/Trappc9/Tanc2/Borcs5/Clasp1/Exoc4/Fyco1/Pclo/Exoc6b/Bicdl1/Prkcz/Cdh2/Dpysl2/Atp9a/Bsn/Sybu/Htt/Myrip/Syn1/Trak1/Rab27a/Kif16b/Unc13a/Smpd3/Ppfia2/Magi2/Nlgn1/Kif13a/Prkn",32
"GO:0060078","regulation of postsynaptic membrane potential","27/721","163/20191",0.165644171779141,4.6387260366056,8.97588304756847,2.67158207865300e-11,7.81170599798139e-09,6.60490081620669e-09,"Nrxn1/Rims1/Gabrb1/Rgs7/Unc13b/Slc17a7/Rims2/Kctd16/Gabrb2/Atxn1/Nr3c2/Grik1/Grid2/Ppp3ca/Grid1/Pclo/Gabrb3/Gabra5/Prkcz/Cux2/Ppp1r9a/Grik2/Glra1/Hcn1/Nlgn1/Shank1/Prkn",27
"GO:0042274","ribosomal small subunit biogenesis","20/721","106/20191",0.188679245283019,5.28380394106718,8.50940936126516,9.50506548419746e-10,2.31606762298278e-07,1.95826583045776e-07,"Rps25/Rps28/Rps17/Rps19/Rps27/Rps8/Rps23/Rps13/Snu13/Rps12/Rps6/Rps16/Rps4x/Fau/Rps15a/Rps11/Rps27a/Prkdc/Rpsa/Rps7",20
"GO:0007409","axonogenesis","47/721","500/20191",0.094,2.63239112343967,7.11259625338498,1.61861681743326e-09,3.4035246356977e-07,2.87772512817409e-07,"Slit2/Cntn6/Neo1/Dcc/Usp9x/Efna5/Ntng1/Ext1/Dscam/Ptk2/Epha3/Ctnna2/Prickle1/Epha5/Cntn1/Ptprs/Robo2/Auts2/Tnr/Apbb2/Dscaml1/Plxna4/Dst/Stxbp5/Cyfip2/Cdh2/Ntng2/Ank3/Cdh11/Enah/Rpl24/Sptbn4/Ulk2/Arhgap32/Macf1/Bmpr2/Trak1/Lrrc4c/Lmtk2/Foxp1/Map3k13/Arhgap35/Nova2/Numb/Cdkl5/Actg1/Kif13b",47
"GO:0051650","establishment of vesicle localization","27/721","201/20191",0.134328358208955,3.76175295505827,7.57232551828544,3.34057085892167e-09,6.37032338575237e-07,5.38619273957942e-07,"Rims1/Unc13b/Cadps/Trappc9/Tanc2/Borcs5/Clasp1/Exoc4/Fyco1/Pclo/Exoc6b/Bicdl1/Prkcz/Dpysl2/Atp9a/Sybu/Htt/Myrip/Trak1/Rab27a/Kif16b/Unc13a/Smpd3/Ppfia2/Nlgn1/Kif13a/Prkn",27
"GO:0007626","locomotory behavior","32/721","278/20191",0.115107913669065,3.22350053383091,7.18363247691908,5.94665235741672e-09,1.0867507183179e-06,9.18862116455223e-07,"Nrg1/Adcy8/Fign/Dscam/Large1/Astn1/Dmd/Zfhx3/Atxn1/Pak5/Scn8a/Fgf12/Lsamp/Negr1/Cntn1/Nr3c2/Tnr/Slc4a10/Apba1/Cacna1c/Abl2/Npas3/Sptbn4/Htt/Ncoa2/Hipk2/Sobp/Glra1/Btbd9/Prkce/Pum1/Prkn",32
