"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","66/1113","166/20191",0.397590361445783,7.21271068099893,19.4132492487481,1.20263510091001e-39,6.15268117625562e-36,4.85105021756544e-36,"Cpeb3/Rps25/Rps28/Rps18/Rpl31/Rpl38/Rpl41/Rpl36/Rpl23a/Rps17/Rpl13/Rpl18a/Rpl37a/Rpl35a/Rpl34/Rpl12/Rpl6/Rps16/Rpl37/Rpl22l1/Rpl35/Rpl26/Rps19/Rplp2/Uba52/Rps8/Rpl11/Rpl36a/Cpeb4/Rps29/Rpl27/Rpl27a/Rps23/Rpl7/Rpl15/Rpl23/Rpl7a/Rpl19/Drg1/Rpl5/Rpl3/Rpl18/Rps11/Rpl39/Rps13/Fau/Rps15a/Rps6/Rps7/Rpl10a/Rpl28/Rps4x/Rpl21/Rpl17/Rpl24/Rps27a/Rps15/Rpl29/Rpl9/Eif2s3x/Rps2/Rps12/Rps20/Rpl30/Rpsa/Rps21",66
"GO:0099173","postsynapse organization","59/1113","312/20191",0.189102564102564,3.43052099891722,10.4502992565808,5.39650552477465e-17,5.52170445294942e-14,4.35355982546031e-14,"Adgrl3/Nf1/Cpeb3/Frmpd4/Nrxn1/Prickle2/Il1rapl1/Gphn/Ptprd/Cadm1/Arhgap39/Ppfia2/Usp9x/Epha7/Dlg2/Prickle1/Sipa1l1/Ctnnd2/Dock4/Nlgn1/Shank2/Sorbs1/Nrxn3/Abl1/Insr/Dnm3/Lrfn2/Chrna7/Cdh2/Iqsec3/Epha4/Pten/Pum2/Grid1/Tmem108/Numb/Hspa8/Srgap3/Magi2/Sorbs2/Cask/Zfp804a/Pak3/Igf1r/Sema3f/Rps6ka5/Kalrn/Ophn1/Csmd2/Ntng2/Nrp1/Dock7/Ptprs/Epha5/Nlgn2/Neurl1a/Abl2/Dip2a/Mark2",59
"GO:0050803","regulation of synapse structure or activity","64/1113","400/20191",0.16,2.90256963162624,9.28294988845559,1.17287275637314e-14,1.00006950360083e-11,7.88499719723134e-12,"Ptk2/Adgrl3/Nf1/Cpeb3/Frmpd4/Nrxn1/Prickle2/Il1rapl1/Mdga2/Ptprd/Negr1/Slc17a7/Adgrb3/Ctnna2/Ppfia2/Usp9x/Epha7/Lrfn5/Ntrk2/Prickle1/Sipa1l1/Dock4/Nlgn1/Shank2/Cap2/Abl1/Dnm3/Ptpro/Lrfn2/Chrna7/Cdh2/Epha4/Pten/Lrrtm3/Pum2/Grid1/Rapgef2/Numb/Hspa8/Srgap3/Magi2/Srgap2/Cask/Zfp804a/Ube2v2/Pak3/Sema4d/Vcp/Sema3f/Rps6ka5/Kalrn/Clstn1/Iqsec1/Dctn1/Egln1/Ntng2/Ogt/Ptprs/Cttnbp2/Nlgn2/Neurl1a/Dip2a/Snap91/Mark2",64
"GO:0050807","regulation of synapse organization","63/1113","392/20191",0.160714285714286,2.91552753176742,9.25037041289681,1.53710436563491e-14,1.12340370494117e-11,8.85741944227515e-12,"Ptk2/Adgrl3/Nf1/Cpeb3/Frmpd4/Nrxn1/Prickle2/Il1rapl1/Mdga2/Ptprd/Negr1/Adgrb3/Ctnna2/Ppfia2/Usp9x/Epha7/Lrfn5/Ntrk2/Prickle1/Sipa1l1/Dock4/Nlgn1/Shank2/Cap2/Abl1/Dnm3/Ptpro/Lrfn2/Chrna7/Cdh2/Epha4/Pten/Lrrtm3/Pum2/Grid1/Rapgef2/Numb/Hspa8/Srgap3/Magi2/Srgap2/Cask/Zfp804a/Ube2v2/Pak3/Sema4d/Vcp/Sema3f/Rps6ka5/Kalrn/Clstn1/Iqsec1/Dctn1/Egln1/Ntng2/Ogt/Ptprs/Cttnbp2/Nlgn2/Neurl1a/Dip2a/Snap91/Mark2",63
"GO:0099003","vesicle-mediated transport in synapse","55/1113","318/20191",0.172955974842767,3.1376047511683,9.28022635392247,3.28656670448168e-14,2.10175940751603e-11,1.65712152783866e-11,"Erc2/Cadps2/Nrxn1/Dnajc6/Rims1/Atp8a1/Stxbp5/Amph/Dennd1a/Slc17a7/Sv2b/Rims2/Ppfia2/Unc13a/Pclo/Ston2/Mapk10/Prkn/Cacna1d/Nlgn1/Unc13b/Btbd9/Unc13c/Sgip1/Dnm3/Cblb/Cdh2/Syt9/Pten/Syn3/Bsn/Stxbp5l/Bltp1/Numb/Magi2/Cadps/Cask/Ap2b1/Ap2m1/Clstn1/Ophn1/Eps15l1/Syn1/Iqsec1/Sacm1l/Braf/Actg1/Nlgn2/Atp6v0c/Ap3s1/Cacnb4/Atp6v1g1/Snap91/Lrp1/Synj1",55
"GO:0007416","synapse assembly","53/1113","303/20191",0.174917491749175,3.17318874744617,9.2060329642755,6.03868332925826e-14,3.43265599027614e-11,2.70646017751084e-11,"Ptk2/Adgrl3/Cpeb3/Nrxn1/Prickle2/Il1rapl1/Nrg3/Mdga2/Ptprd/Negr1/Cadm1/Adgrb3/Usp9x/Dscam/Pclo/Epha7/Kirrel3/Lrfn5/Ntrk2/Prickle1/Sipa1l1/Gria1/Dock4/Gabrb3/Nlgn1/Large1/Shank2/Gabrb2/Nrxn3/Abl1/Dnm3/Cdh2/Pten/Bsn/Lrrtm3/Pum2/Plxna4/Gabra5/Numb/Srgap3/Magi2/Srgap2/Ube2v2/Sema4d/Clstn1/Csmd2/Iqsec1/Ntng2/Ogt/Dock7/Ptprs/Nlgn2/Neurl1a",53
"GO:1901888","regulation of cell junction assembly","51/1113","307/20191",0.166123778501629,3.01366146606144,8.58722988363863,1.41180324414748e-12,6.56616854278045e-10,5.17706223117046e-10,"Ptk2/Adgrl3/Cpeb3/Nrxn1/Prickle2/Fmn1/Il1rapl1/Mdga2/Ptprd/Negr1/Adgrb3/Dlc1/Usp9x/Epha3/Epha7/Lrfn5/Ntrk2/Prickle1/Sipa1l1/Dock4/Nlgn1/Abl1/Smad3/Ptprj/Pten/Lrrtm3/Pum2/Rapgef2/Numb/Srgap3/Srgap2/Lims1/Ube2v2/Tjp1/Sema4d/Limch1/Rps6/Rapgef1/Clasp2/Clstn1/Epb41l5/Iqsec1/Ntng2/Ogt/Nrp1/Actg1/Ptprs/Nlgn2/Neurl1a/Lrp1/Clasp1",51
"GO:0099558","maintenance of synapse structure","18/1113","42/20191",0.428571428571429,7.77474008471313,10.6154853225156,1.93386463725634e-12,7.99382148643831e-10,6.3026879420665e-10,"Erc2/Adgrl3/Nrxn1/Prickle2/Rims1/Cadm1/Adgrb3/Rims2/Pclo/Dlg2/Prickle1/Nlgn1/Bsn/Plxna4/Hspa8/Sort1/Ophn1/Csmd2",18
"GO:0051648","vesicle localization","42/1113","223/20191",0.188340807174888,3.41670192063626,8.76511370165398,2.03126816504492e-12,7.99382148643831e-10,6.3026879420665e-10,"Cadps2/Nrxn1/Rims1/Ppfia2/Unc13a/Pclo/Htt/Prkn/Nlgn1/Unc13b/Exoc4/Unc13c/Kif13a/Dnm3/Dpysl2/Exoc6b/Cdh2/Kif16b/Fyco1/Pten/Syn3/Bsn/Trappc9/Magi2/Cadps/Bicdl1/Fbxw11/Madd/Clasp2/Mapk8/Syn1/Gbf1/Dctn1/Ap3b1/Myrip/Nlgn2/Dync1i1/Smpd3/Ap3s1/Snap91/Synj1/Clasp1",42
"GO:0051056","regulation of small GTPase mediated signal transduction","43/1113","244/20191",0.176229508196721,3.19699011680144,8.33937574162453,1.11611077682705e-11,4.07858766731944e-09,3.21574172691825e-09,"Nf1/Cdon/Dennd1a/Dlc1/Auts2/Sipa1l1/Dgki/Abl1/Ralgapa1/Sipa1l3/Igf1/Ralgapb/Cdh2/Iqsec3/Scai/Camk2d/Rit2/Arhgap35/Dennd4a/Sos2/Dennd4c/Cdc42bpa/Sos1/Ralgapa2/Ralgps1/Sema4d/Arfgef2/Psd3/Madd/Rap1gap2/Rapgef1/Ophn1/Gbf1/Arfgef1/Iqsec1/Arfgef3/Ogt/Nrp1/Cyrib/Dock7/Stmn1/Abl2/Rasa2",43
