"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","59/387","166/20191",0.355421686746988,18.5434606643629,31.7270893914802,4.50823737289975e-59,1.6053833284896e-55,1.33111640326145e-55,"Rpl31/Rpl41/Rps25/Rpl35a/Rps28/Rpl35/Rps23/Rpl23a/Rpl36/Rpl37a/Rps18/Rpl26/Rps29/Rpl28/Rpl18a/Rps17/Rpl27/Rps8/Rpl19/Rps27a/Rpl24/Rpl6/Rpl17/Rpl38/Rpl11/Rpl7/Rpl12/Rpl13/Rpl5/Rpl10a/Rps13/Rpl34/Rps15a/Rpl36a/Rpl27a/Rps19/Rpl3/Rpl37/Rps6/Rplp2/Rps16/Fau/Rpl29/Rpl7a/Uba52/Rpl15/Rpl9/Cpeb3/Rpl21/Rps4x/Rpl23/Rpl39/Rps11/Rps12/Rpl22l1/Rps7/Rpsa/Rpl30/Rpl18",59
"GO:0099173","postsynapse organization","30/387","312/20191",0.0961538461538462,5.0166467899026,9.99518544892179,4.31617094216469e-13,3.07397694500969e-10,2.5488125247941e-10,"Lrrtm4/Nrxn3/Sipa1l1/Nrxn1/Ctnnd2/Epha5/Dlg2/Magi2/Gphn/Reln/Tmem108/Il1rapl1/Ntrk3/Lrfn2/Ptprd/Rps6ka5/Prickle1/Ppfia2/Myo9a/Sorbs1/Cpeb3/Sorbs2/Dnm3/Shank1/Shank2/Usp9x/Cdh2/Igf1r/Iqsec3/Nf1",30
"GO:0042274","ribosomal small subunit biogenesis","18/387","106/20191",0.169811320754717,8.85958753839403,11.3413291068354,1.70449863666782e-12,1.01161994086235e-09,8.38792750149691e-10,"Rps25/Rps28/Rps23/Rps17/Rps8/Rps27/Rps27a/Rps13/Rps15a/Rps19/Rps6/Rps16/Fau/Rps4x/Rps11/Rps12/Rps7/Rpsa",18
"GO:0007416","synapse assembly","28/387","303/20191",0.0924092409240924,4.82127902712752,9.36875091224648,6.98668564405419e-12,3.55422679692528e-09,2.94701552354466e-09,"Kirrel3/Lrrtm4/Nrxn3/Sipa1l1/Mdga2/Nrxn1/Negr1/Adgrb3/Magi2/Nrg3/Gabrb3/Reln/Il1rapl1/Ntrk3/Large1/Ptprd/Prickle1/Ube2v2/Gabrb2/Cpeb3/Pclo/Dnm3/Shank2/Ntrk2/Usp9x/Cdh2/Iqsec1/Ptk2",28
"GO:0099504","synaptic vesicle cycle","23/387","261/20191",0.0881226053639847,4.59763184729771,8.17768742524324,1.39618659595362e-09,5.52424496465651e-07,4.58047181479522e-07,"Unc13b/Nrxn1/Dennd1a/Sv2b/Magi2/Dnajc6/Prkn/Erc2/Sgip1/Slc17a7/Amph/Unc13c/Ppfia2/Pclo/Dnm3/Stxbp5/Atp6v0c/Actg1/Stxbp5l/Rims2/Cdh2/Vamp2/Cadps",23
"GO:0060078","regulation of postsynaptic membrane potential","18/387","163/20191",0.110429447852761,5.7614495648452,8.53220698294395,2.5383644150354e-09,9.03911568194105e-07,7.49485493070978e-07,"Unc13b/Nrxn1/Atxn1/Gabrb3/Reln/Tmem108/Rgs7/Prkn/Grin3a/Ppp3ca/Slc17a7/Dpp6/Gabrb2/Gria4/Pclo/Slc8a3/Shank1/Rims2",18
"GO:0050803","regulation of synapse structure or activity","28/387","400/20191",0.07,3.6521188630491,7.4892149204769,4.21309301439376e-09,1.25023535202135e-06,1.03664262327846e-06,"Lrrtm4/Sipa1l1/Mdga2/Nrxn1/Negr1/Adgrb3/Magi2/Reln/Il1rapl1/Ctnna2/Ntrk3/Lrfn2/Ptprd/Rps6ka5/Prickle1/Slc17a7/Ube2v2/Ppfia2/Cpeb3/Dnm3/Cntnap4/Shank2/Ntrk2/Usp9x/Cdh2/Nf1/Iqsec1/Ptk2",28
"GO:0001764","neuron migration","20/387","215/20191",0.0930232558139535,4.85331410371973,7.94047642169419,6.67192416379e-09,1.82759399594278e-06,1.51536415218064e-06,"Kirrel3/Unc5d/Phactr1/Mdga2/Sh3rf1/Arhgap32/Fat3/Nrg3/Prkg1/Reln/Ctnna2/Auts2/Ntrk3/Neo1/Large1/Dcc/Astn1/Ntrk2/Usp9x/Ptk2",20
"GO:0050807","regulation of synapse organization","27/387","392/20191",0.0688775510204082,3.59355719031799,7.24877163325176,1.13083390510549e-08,2.87635681148619e-06,2.38495421339918e-06,"Lrrtm4/Sipa1l1/Mdga2/Nrxn1/Negr1/Adgrb3/Magi2/Reln/Il1rapl1/Ctnna2/Ntrk3/Lrfn2/Ptprd/Rps6ka5/Prickle1/Ube2v2/Ppfia2/Cpeb3/Dnm3/Cntnap4/Shank2/Ntrk2/Usp9x/Cdh2/Nf1/Iqsec1/Ptk2",27
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","20/387","226/20191",0.0884955752212389,4.61709085088381,7.64409652779311,1.56319050807616e-08,3.25318824143558e-06,2.6974070019441e-06,"Kirrel3/Cdh18/Robo2/Unc5d/Tenm3/Mdga2/Nrxn1/Wnk1/Cadm2/Cdh12/Fat3/Dscaml1/Magi2/Tenm4/Il1rapl1/Atp2c1/Ptprd/Palld/Lrrc4c/Cdh2",20
"GO:0042255","ribosome assembly","11/387","60/20191",0.183333333333333,9.56507321274763,9.28797875866011,1.64440854663972e-08,3.25318824143558e-06,2.6974070019441e-06,"Rps25/Rps28/Rps27/Rpl24/Rpl38/Rpl11/Rpl5/Rps19/Rps6/Fau/Rpsa",11
"GO:1902414","protein localization to cell junction","16/387","146/20191",0.10958904109589,5.71760291671091,7.99727378085663,2.19397130419347e-08,4.11196411275418e-06,3.40946787161367e-06,"Nrxn3/Mapk10/Nrxn1/Dlg2/Magi2/Gphn/Reln/Tmem108/Nbea/Gpc6/Pclo/Tjp2/Actg1/Shank1/Vamp2/Tjp1",16
"GO:0016358","dendrite development","24/387","329/20191",0.0729483282674772,3.80594236705073,7.17319091710109,2.5324742254244e-08,4.50907035836815e-06,3.73873168542919e-06,"Phactr1/Sipa1l1/Ctnnd2/Adgrb3/Epha5/Fat3/Csmd3/Prkg1/Reln/Il1rapl1/Ctnna2/Grin3a/Gpx4/Ppp3ca/Arid1b/Ptprd/Rere/Prickle1/Ppfia2/Cpeb3/Dnm3/Shank1/Ntrk2/Iqsec1",24
"GO:0000028","ribosomal small subunit assembly","7/387","20/20191",0.35,18.2605943152455,10.7957846171682,5.62839874674918e-08,9.11033088053356e-06,7.55390358116338e-06,"Rps25/Rps28/Rps27/Rps19/Rps6/Fau/Rpsa",7
"GO:0007269","neurotransmitter secretion","17/387","184/20191",0.0923913043478261,4.82034321986294,7.27725327625231,1.0126387321386e-07,1.50250271881064e-05,1.24581212440735e-05,"Unc13b/Nrxn3/Nrxn1/Sv2b/Prkn/Erc2/Unc13c/Ppfia2/Pclo/Stxbp5/Ptprn2/Ntrk2/Stxbp5l/Rims2/Vamp2/Nf1/Cadps",17
"GO:0099643","signal release from synapse","17/387","184/20191",0.0923913043478261,4.82034321986294,7.27725327625231,1.0126387321386e-07,1.50250271881064e-05,1.24581212440735e-05,"Unc13b/Nrxn3/Nrxn1/Sv2b/Prkn/Erc2/Unc13c/Ppfia2/Pclo/Stxbp5/Ptprn2/Ntrk2/Stxbp5l/Rims2/Vamp2/Nf1/Cadps",17
"GO:0099565","chemical synaptic transmission, postsynaptic","14/387","130/20191",0.107692307692308,5.61864440469092,7.38511218602457,2.08556644147795e-07,2.85642388388575e-05,2.36842666734641e-05,"Unc13b/Nrxn1/Atxn1/Gabrb3/Reln/Tmem108/Prkn/Ppp3ca/Slc17a7/Pclo/Anks1b/Slc8a3/Shank1/Rims2",14
"GO:0034331","cell junction maintenance","10/387","68/20191",0.147058823529412,7.67251861985104,7.70451083539576,6.44120415859201e-07,8.19183143169505e-05,6.79232243039495e-05,"Kirrel1/Nrxn1/Adgrb3/Dlg2/Erc2/Prickle1/Pclo/Shank1/Rims2/Tjp1",10
"GO:0006364","rRNA processing","17/387","213/20191",0.07981220657277,4.16405235894263,6.48940145897252,8.18415733698998e-07,9.7145947590071e-05,8.05493380009013e-05,"Rps25/Rpl35a/Rps28/Rpl35/Rpl26/Rps17/Rpl27/Rps8/Rps27/Rpl11/Rpl7/Rpl5/Rps19/Rps6/Rps16/Rpl7a/Rps7",17
"GO:0035249","synaptic transmission, glutamatergic","13/387","127/20191",0.102362204724409,5.34055626767584,6.85939281999097,1.02001706038079e-06,0.000117170346839225,9.71527285014639e-05,"Unc13b/Grm5/Nrxn1/Reln/Prkn/Grin3a/Slc17a7/Unc13c/Gria4/Shank2/Ntrk2/Cdh2/Nf1",13
"GO:1990778","protein localization to cell periphery","24/387","404/20191",0.0594059405940594,3.09939366029626,5.95856622021119,1.10868413135179e-06,0.000121043035978406,0.000100363799618507,"Nrxn3/Mapk10/Nrxn1/Wnk1/Negr1/Ank2/Dlg2/Magi2/Gphn/Tmem108/Nbea/Kcnb2/Cacnb2/Gpc6/C2cd5/Large1/Atp2c1/Camk2d/Dpp6/Sorbs1/Kif13a/Cdh2/Vamp2/Ank3",24
"GO:0006836","neurotransmitter transport","18/387","243/20191",0.0740740740740741,3.8646760455546,6.28023878554719,1.15570435924341e-06,0.000121043035978406,0.000100363799618507,"Unc13b/Nrxn3/Nrxn1/Sv2b/Prkn/Erc2/Slc17a7/Unc13c/Ppfia2/Pclo/Stxbp5/Ptprn2/Ntrk2/Stxbp5l/Rims2/Vamp2/Nf1/Cadps",18
"GO:0007611","learning or memory","22/387","350/20191",0.0628571428571429,3.27945367294205,6.01353990046577,1.23731163550148e-06,0.000125887620972022,0.000104380725942305,"Vps13b/Kcnab1/Plcb1/Nrxn3/Grm5/Nrxn1/Ctnnd2/Adgrb3/Atxn1/Gabrb3/Pde4d/Reln/Prkn/Large1/Slc17a7/Amph/Cpeb3/Slc8a3/Shank1/Shank2/Ntrk2/Nf1",22
"GO:0099560","synaptic membrane adhesion","8/387","43/20191",0.186046511627907,9.70662820743946,7.98942343905566,1.36678368914279e-06,0.000135197686584374,0.000112100241170922,"Tenm3/Mdga2/Nrxn1/Magi2/Tenm4/Il1rapl1/Ptprd/Lrrc4c",8
"GO:1901888","regulation of cell junction assembly","20/387","307/20191",0.0651465798045603,3.39890075667668,5.92075070121517,2.19550631987989e-06,0.000200466615515187,0.000166218494662971,"Lrrtm4/Sipa1l1/Mdga2/Nrxn1/Negr1/Adgrb3/Il1rapl1/Fmn1/Ntrk3/Rps6/Ptprd/Prickle1/Ube2v2/Cpeb3/Actg1/Ntrk2/Usp9x/Tjp1/Iqsec1/Ptk2",20
"GO:0031346","positive regulation of cell projection organization","25/387","455/20191",0.0549450549450549,2.86665530851577,5.62972839552133,2.70315195800463e-06,0.000240648103061362,0.000199535295847447,"Tenm1/Robo2/Tenm3/Nrxn1/Negr1/Arhgap32/Magi2/Reln/Cntn1/Rit2/Il1rapl1/Tox/Auts2/Ntrk3/Dcc/Ptprd/Nckap1/Ube2v2/Zeb2/Dnm3/Itpr1/Ntrk2/Prkd1/Igf1r/Nf1",25
"GO:0070252","actin-mediated cell contraction","11/387","103/20191",0.106796116504854,5.57188730839668,6.50268868385982,4.58363655024476e-06,0.000347283611817481,0.000287952979248299,"Akap6/Ank2/Cacna2d1/Kcnd3/Pde4d/Myl6/Cacnb2/Uty/Camk2d/Ryr2/Zeb2",11
"GO:0016072","rRNA metabolic process","17/387","251/20191",0.0677290836653386,3.53363805758877,5.646327190579,7.62073785424732e-06,0.000553825459162749,0.000459208800884291,"Rps25/Rpl35a/Rps28/Rpl35/Rpl26/Rps17/Rpl27/Rps8/Rps27/Rpl11/Rpl7/Rpl5/Rps19/Rps6/Rps16/Rpl7a/Rps7",17
"GO:0006941","striated muscle contraction","14/387","176/20191",0.0795454545454545,4.1501350716467,5.86752428443836,7.94834115635912e-06,0.000558823195413567,0.000463352713795668,"Akap6/Ank2/Cacna2d1/Kcnd3/Pde4d/Cacnb2/Uty/Large1/Camk2d/Ryr2/Map2k6/Slc8a1/Slc8a3/Prkd1",14
"GO:1905475","regulation of protein localization to membrane","16/387","226/20191",0.0707964601769911,3.69367268070705,5.69261177959429,8.08536367010954e-06,0.000558823195413567,0.000463352713795668,"Nrxn1/Wnk1/Magi2/Tmem108/Nbea/Gpc6/C2cd5/Prkn/Atp2c1/Mtcl1/Camk2d/Dpp6/Sorbs1/Sorbs2/Cdh2/Ank3",16
"GO:0086003","cardiac muscle cell contraction","9/387","72/20191",0.125,6.52164082687339,6.5611261682073,9.33094357828435e-06,0.000626933775137181,0.000519827144728652,"Akap6/Ank2/Cacna2d1/Kcnd3/Pde4d/Cacnb2/Uty/Camk2d/Ryr2",9
"GO:0021549","cerebellum development","12/387","133/20191",0.0902255639097744,4.70734976977327,5.99642977004028,9.89975239849224e-06,0.000652833672056127,0.000541302251028669,"Nrxn1/Arhgap32/mt-Co1/Prkg1/Gabrb3/Cntn1/Gpx4/Rere/Rora/mt-Nd4/Usp9x/Igf1r",12
"GO:0070588","calcium ion transmembrane transport","20/387","342/20191",0.0584795321637427,3.05106003596416,5.34772779336512,1.10330232821995e-05,0.000714338107416589,0.000592299144623341,"Trpm3/Plcb1/Nalf1/Akap6/Nalcn/Ank2/Cacna2d1/Mcu/Pde4d/Cacnb2/Grin3a/Atp2c1/Ppp3ca/Plcl1/Camk2d/Ryr2/Itpr1/Slc8a1/Slc8a3/Prkd1",20
"GO:0032970","regulation of actin filament-based process","22/387","404/20191",0.0544554455445545,2.84111085527157,5.22549970372742,1.23975817440466e-05,0.000788353367688391,0.000653669488572381,"Tenm1/Kirrel1/Akap6/Ank2/Epha5/Pde4d/Fhod3/Ctnna2/Ppm1e/Fmn1/Prkn/Sptb/Nckap1/Ryr2/Zeb2/Fchsd2/Stmn1/Alms1/Actg1/Shank1/Prkd1/Tjp1",22
"GO:1903539","protein localization to postsynaptic membrane","9/387","75/20191",0.12,6.26077519379845,6.38052985440265,1.30906451442898e-05,0.00081782083085642,0.000678102670909194,"Nrxn3/Mapk10/Dlg2/Magi2/Gphn/Tmem108/Nbea/Gpc6/Vamp2",9
"GO:0048167","regulation of synaptic plasticity","17/387","262/20191",0.0648854961832061,3.38527920784267,5.4324319869344,1.33649720272091e-05,0.000820563196360197,0.000680376525160098,"Unc13b/Sipa1l1/Grm5/Ctnnd2/Reln/Slc4a10/Large1/Sorcs2/Camk2d/Unc13c/Cpeb3/Slc8a3/Rasgrf2/Shank2/Ntrk2/Vamp2/Nf1",17
"GO:0034762","regulation of transmembrane transport","25/387","500/20191",0.05,2.60865633074935,5.09168551271791,1.38219018365564e-05,0.000834233770169109,0.000691711590571647,"Kcnab1/Plcb1/Wnk1/Akap6/Ank2/Cacna2d1/Pde4d/Reln/Cacnb2/C2cd5/Rgs7/Ppp3ca/Dapk1/Arhgef11/Camk2d/Ryr2/Dpp6/Sorbs1/Slc8a1/Rasgrf2/Fgf12/Shank1/Prkd1/Vamp2/Ank3",25
"GO:1901798","positive regulation of signal transduction by p53 class mediator","6/387","29/20191",0.206896551724138,10.7944399893077,7.37834547986466,1.55978984504813e-05,0.000901779547030132,0.000747717710702056,"Rpl26/Rpl11/Rpl37/Ubb/Rpl23/Rps7",6
"GO:0097553","calcium ion transmembrane import into cytosol","14/387","188/20191",0.074468085106383,3.88523283303095,5.55596378166884,1.68433179846368e-05,0.000952048497512565,0.000789398612312551,"Plcb1/Nalf1/Akap6/Ank2/Cacna2d1/Pde4d/Ppp3ca/Plcl1/Camk2d/Ryr2/Itpr1/Slc8a1/Slc8a3/Prkd1",14
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","13/387","165/20191",0.0787878787878788,4.11060997572625,5.60838229718478,1.85111993837325e-05,0.00102114891627638,0.000846693776188016,"Nrxn3/Mapk10/Ctnnd2/Dlg2/Magi2/Gphn/Tmem108/Nbea/Gpc6/Prkn/Dnm3/Vamp2/Iqsec1",13
"GO:0043113","receptor clustering","9/387","80/20191",0.1125,5.86947674418605,6.1003905507541,2.22198085216849e-05,0.00113035340208171,0.00093724154741844,"Lrrtm4/Nrxn1/Dlg2/Magi2/Gphn/Reln/Sorbs1/Sorbs2/Cdh2",9
"GO:1904667","negative regulation of ubiquitin protein ligase activity","4/387","10/20191",0.4,20.8692506459948,8.7853148464925,2.54691315693522e-05,0.00120927436691284,0.00100267949546713,"Rpl11/Rpl5/Rpl23/Rps7",4
"GO:0071625","vocalization behavior","5/387","20/20191",0.25,13.0432816537468,7.53257231142417,3.08259301986908e-05,0.00142559918750049,0.00118204694746859,"Nrxn3/Nrxn1/Auts2/Shank1/Shank2",5
"GO:0055002","striated muscle cell development","14/387","202/20191",0.0693069306930693,3.61595927034564,5.22346046218028,3.74586580831343e-05,0.00155962545094633,0.00129317589379224,"Akap6/Prkg1/Fhod3/Hdac9/Large1/Lncpint/Ppp3ca/Prickle1/Camk2d/Sorbs2/Slc8a1/Actg1/Smyd3/Prkd1",14
"GO:0097090","presynaptic membrane organization","4/387","11/20191",0.363636363636364,18.9720460418135,8.33451758614973,3.94176609337743e-05,0.00155962545094633,0.00129317589379224,"Lrrtm4/Nrxn1/Il1rapl1/Ptprd",4
"GO:1903050","regulation of proteolysis involved in protein catabolic process","15/387","231/20191",0.0649350649350649,3.38786536460955,5.10249679826225,4.24201416626111e-05,0.00165997938967646,0.00137638516325765,"Sh3rf1/Agbl4/Rpl11/Gabarapl2/Rpl5/Prkn/Hipk2/Prickle1/Sumo2/Ube2v2/Ubb/Rpl23/Rps7/Usp9x/Ptk2",15
"GO:0140029","exocytic process","10/387","110/20191",0.0909090909090909,4.74301151045337,5.50265165008914,5.09336577902229e-05,0.00190920795148404,0.0015830350149759,"Unc13b/Exoc6b/Erc2/Unc13c/Exoc4/Pclo/Stxbp5/Rims2/Vamp2/Cadps",10
"GO:0006874","intracellular calcium ion homeostasis","18/387","321/20191",0.0560747663551402,2.92559588495255,4.86145102508594,5.23374283438011e-05,0.00194139148262787,0.00160972024675836,"Plcb1/Akap6/Ank2/Sv2b/Mcu/Pde4d/Cacnb2/Erc2/Atp2c1/Fto/Plcl1/Camk2d/Ryr2/Inpp4b/Itpr1/Slc8a1/Slc8a3/Prkd1",18
"GO:0035176","social behavior","8/387","70/20191",0.114285714285714,5.96264304171281,5.81412628468493,5.67111989145416e-05,0.00203796505413097,0.00168979499455723,"Vps13b/Nrxn3/Nrxn1/Negr1/Atxn1/Gabrb3/Shank1/Shank2",8
"GO:0018105","peptidyl-serine phosphorylation","14/387","210/20191",0.0666666666666667,3.47820844099914,5.04645090478259,5.72301335055032e-05,0.00203796505413097,0.00168979499455723,"Tenm1/Akt3/Nrxn1/Wnk1/Pde4d/Ntrk3/Hipk2/Mif/Camk2d/Dclk2/Smyd3/Ntrk2/Prkd1/Fnip1",14
"GO:0071805","potassium ion transmembrane transport","14/387","210/20191",0.0666666666666667,3.47820844099914,5.04645090478259,5.72301335055032e-05,0.00203796505413097,0.00168979499455723,"Kcnab1/Wnk1/Akap6/Nalcn/Ank2/Kcnd3/Kcnb2/Rgs7/Large1/Slc17a7/Dpp6/Kcnh5/Vamp2/Ank3",14
"GO:0001508","action potential","13/387","184/20191",0.0706521739130435,3.6861448151893,5.11675392283886,5.79753691929329e-05,0.00204406227421816,0.00169485055326917,"Ank2/Cacna2d1/Kcnd3/Kcnb2/Cacnb2/Ntrk3/Hnrnpa1/Camk2d/Ryr2/Dpp6/Fgf12/Ntrk2/Ank3",13
"GO:0051703","biological process involved in intraspecies interaction between organisms","8/387","72/20191",0.111111111111111,5.7970140683319,5.700083638148,6.95491459130832e-05,0.00231337831265755,0.00191815609660339,"Vps13b/Nrxn3/Nrxn1/Negr1/Atxn1/Gabrb3/Shank1/Shank2",8
"GO:0051651","maintenance of location in cell","14/387","214/20191",0.0654205607476635,3.4131951991113,4.96113891433227,7.01614315549046e-05,0.00231337831265755,0.00191815609660339,"Plcb1/Akap6/Ank2/Pde4d/Rit2/Slc17a7/Plcl1/Camk2d/Ryr2/Itpr1/Slc8a1/Prkd1/Syne1/Ank3",14
"GO:0031503","protein-containing complex localization","16/387","272/20191",0.0588235294117647,3.06900744794042,4.80241761579902,7.75451564861924e-05,0.00253337891970029,0.00210057135628942,"Nrxn3/Mapk10/Nrxn1/Akap6/Dlg2/Magi2/Gphn/Reln/Tmem108/Nbea/Gpc6/Dnm3/Anks1b/Vamp2/Iqsec1/Ralgapa2",16
"GO:0010959","regulation of metal ion transport","21/387","431/20191",0.0487238979118329,2.54207809492976,4.52375125087069,9.7044001785742e-05,0.00305817425096484,0.00253570959486731,"Kcnab1/Plcb1/Akt3/Wnk1/Akap6/Ank2/Cacna2d1/Pde4d/Cntn1/Cacnb2/Rgs7/Ppp3ca/Camk2d/Ryr2/Dpp6/Itpr1/Slc8a1/Fgf12/Prkd1/Vamp2/Ank3",21
"GO:0007626","locomotory behavior","16/387","278/20191",0.0575539568345324,3.00276987712156,4.70037258919846,0.000100085538634543,0.00312635616734744,0.0025922431751606,"Zfhx3/Mapk10/Grm5/Negr1/Atxn1/Reln/Cntn1/Slc4a10/Prkn/Large1/Hipk2/Astn1/Fgf12/Shank2/Lsamp/Oxr1",16
"GO:0086065","cell communication involved in cardiac conduction","6/387","41/20191",0.146341463414634,7.63509169975421,5.94495423407617,0.000121613501021178,0.00363920737089426,0.00301747784488638,"Ank2/Cacna2d1/Pde4d/Cacnb2/Ryr2/Slc8a1",6
"GO:0106027","neuron projection organization","10/387","124/20191",0.0806451612903226,4.20751021088605,5.00823671864244,0.00013986928764298,0.00400628049331951,0.00332183945484303,"Sipa1l1/Ctnnd2/Epha5/Reln/Il1rapl1/Ptprd/Ppfia2/Dnm3/Shank1/Igf1r",10
