gene,logfoldchanges,pvals,pvals_adj,scores
ENSMUSG00000050965,7.1123548,0.0,0.0,289.40854
ENSMUSG00000001175,3.5024323,0.0,0.0,279.95242
ENSMUSG00000004630,3.5344276,0.0,0.0,274.03018
ENSMUSG00000052581,7.161217,0.0,0.0,263.99155
ENSMUSG00000027350,3.983739,0.0,0.0,260.05038
ENSMUSG00000090223,3.8629224,0.0,0.0,254.3672
ENSMUSG00000041261,4.499247,0.0,0.0,251.39108
ENSMUSG00000030523,2.5805776,0.0,0.0,250.4226
ENSMUSG00000020704,6.904551,0.0,0.0,242.3731
ENSMUSG00000029769,3.8338034,0.0,0.0,236.79037
ENSMUSG00000001103,5.931511,0.0,0.0,236.59676
ENSMUSG00000025085,3.487307,0.0,0.0,226.58722
ENSMUSG00000021991,2.6727915,0.0,0.0,225.72949
ENSMUSG00000053702,5.242748,0.0,0.0,218.29344
ENSMUSG00000022708,1.9034758,0.0,0.0,213.58426
ENSMUSG00000039629,3.7324424,0.0,0.0,210.19899
ENSMUSG00000020728,4.7250805,0.0,0.0,208.76503
ENSMUSG00000061751,4.1597214,0.0,0.0,202.39009
ENSMUSG00000032479,1.6518588,0.0,0.0,201.34161
ENSMUSG00000028161,1.9164475,0.0,0.0,200.73311
ENSMUSG00000039683,3.6710188,0.0,0.0,199.5821
ENSMUSG00000026527,2.5557017,0.0,0.0,198.45474
ENSMUSG00000039257,3.9491172,0.0,0.0,195.4807
ENSMUSG00000001105,2.6926985,0.0,0.0,195.17337
ENSMUSG00000041992,3.62864,0.0,0.0,192.56033
ENSMUSG00000103510,5.989341,0.0,0.0,191.93526
ENSMUSG00000029632,1.5000381,0.0,0.0,191.85284
ENSMUSG00000115398,4.3625946,0.0,0.0,191.58875
ENSMUSG00000022514,6.0587025,0.0,0.0,189.22603
ENSMUSG00000024084,2.38609,0.0,0.0,186.58609
ENSMUSG00000058571,2.6017714,0.0,0.0,181.60014
ENSMUSG00000021290,1.5955105,0.0,0.0,181.4655
ENSMUSG00000028519,4.0965996,0.0,0.0,181.20236
ENSMUSG00000059857,2.685387,0.0,0.0,178.37589
ENSMUSG00000110246,2.6438875,0.0,0.0,177.88388
ENSMUSG00000103428,2.30497,0.0,0.0,171.51695
ENSMUSG00000037110,2.4358783,0.0,0.0,169.8946
ENSMUSG00000035274,5.923339,0.0,0.0,169.57913
ENSMUSG00000064293,2.1130476,0.0,0.0,168.907
