gene,logfoldchanges,pvals,pvals_adj,scores
ENSMUSG00000031558,7.522277,0.0,0.0,148.70238
ENSMUSG00000062209,8.750701,0.0,0.0,146.20238
ENSMUSG00000059742,7.7840004,0.0,0.0,140.17548
ENSMUSG00000054728,4.4232616,0.0,0.0,130.40973
ENSMUSG00000034912,2.546339,0.0,0.0,129.44333
ENSMUSG00000030206,4.049479,0.0,0.0,129.11472
ENSMUSG00000022935,4.912485,0.0,0.0,128.37549
ENSMUSG00000070695,4.7070665,0.0,0.0,128.07207
ENSMUSG00000025255,3.7114925,0.0,0.0,127.3376
ENSMUSG00000074505,4.567838,0.0,0.0,127.316765
ENSMUSG00000022311,3.7189157,0.0,0.0,122.39993
ENSMUSG00000045103,3.0242379,0.0,0.0,119.91539
ENSMUSG00000024109,3.0977216,0.0,0.0,119.16791
ENSMUSG00000040420,3.4921064,0.0,0.0,118.309135
ENSMUSG00000092094,2.849018,0.0,0.0,117.97411
ENSMUSG00000052504,3.5524383,0.0,0.0,116.70507
ENSMUSG00000036510,3.6006079,0.0,0.0,115.83036
ENSMUSG00000032452,4.203109,0.0,0.0,110.85508
ENSMUSG00000050272,3.6083663,0.0,0.0,110.56998
ENSMUSG00000059173,4.648551,0.0,0.0,109.30441
ENSMUSG00000029765,3.854878,0.0,0.0,108.49381
ENSMUSG00000029212,3.8016684,0.0,0.0,108.14659
ENSMUSG00000022376,4.2423825,0.0,0.0,108.021706
ENSMUSG00000031738,5.698272,0.0,0.0,107.7833
ENSMUSG00000001946,5.2564635,0.0,0.0,107.16186
ENSMUSG00000059857,2.7137716,0.0,0.0,106.3409
ENSMUSG00000060534,2.098589,0.0,0.0,105.97555
ENSMUSG00000028125,3.563814,0.0,0.0,104.931015
ENSMUSG00000004383,3.1053247,0.0,0.0,101.84956
ENSMUSG00000027562,2.1093814,0.0,0.0,101.18871
ENSMUSG00000031561,1.9671738,0.0,0.0,99.87306
ENSMUSG00000022309,9.042241,0.0,0.0,99.69829
ENSMUSG00000051166,1.9129494,0.0,0.0,99.47072
ENSMUSG00000103428,2.338177,0.0,0.0,97.973145
ENSMUSG00000032878,5.443666,0.0,0.0,97.53023
ENSMUSG00000054423,1.2888263,0.0,0.0,95.870514
ENSMUSG00000031626,2.423703,0.0,0.0,94.71238
ENSMUSG00000106379,2.602755,0.0,0.0,93.42541
ENSMUSG00000021337,2.0527115,0.0,0.0,92.14521
ENSMUSG00000026163,2.0495512,0.0,0.0,91.55656
ENSMUSG00000050711,1.9640734,0.0,0.0,91.510445
ENSMUSG00000016386,2.7601106,0.0,0.0,88.63954
ENSMUSG00000041670,2.0541098,0.0,0.0,88.62661
ENSMUSG00000026610,2.3331225,0.0,0.0,88.56085
ENSMUSG00000005649,1.7984891,0.0,0.0,87.22697
ENSMUSG00000032338,4.89429,0.0,0.0,86.11212
ENSMUSG00000079157,1.6078464,0.0,0.0,85.92878
ENSMUSG00000029108,2.2006433,0.0,0.0,85.54954
ENSMUSG00000049252,2.7538693,0.0,0.0,85.520325
ENSMUSG00000067028,4.657293,0.0,0.0,84.99538
ENSMUSG00000038602,2.4611762,0.0,0.0,83.64684
ENSMUSG00000030020,1.8474805,0.0,0.0,83.547455
ENSMUSG00000022836,4.0887074,0.0,0.0,83.11235
ENSMUSG00000021720,3.1138766,0.0,0.0,82.976814
ENSMUSG00000000263,2.0598717,0.0,0.0,82.74883
ENSMUSG00000040855,2.6924043,0.0,0.0,81.77098
ENSMUSG00000112404,8.337543,0.0,0.0,80.047806
ENSMUSG00000018378,1.8130579,0.0,0.0,80.03128
ENSMUSG00000066392,0.8226006,0.0,0.0,79.52018
ENSMUSG00000029713,3.5970924,0.0,0.0,79.06746
ENSMUSG00000075324,5.2873173,0.0,0.0,78.95454
ENSMUSG00000030518,2.3869157,0.0,0.0,78.797745
ENSMUSG00000038811,1.9044099,0.0,0.0,78.77398
ENSMUSG00000031492,5.6632533,0.0,0.0,77.02995
ENSMUSG00000040430,2.066704,0.0,0.0,76.958954
ENSMUSG00000064179,2.0286853,0.0,0.0,76.81364
ENSMUSG00000004032,2.028919,0.0,0.0,76.45955
ENSMUSG00000017144,4.147376,0.0,0.0,76.148026
ENSMUSG00000046159,1.938469,0.0,0.0,76.08566
ENSMUSG00000071753,1.9357928,0.0,0.0,74.949394
ENSMUSG00000043336,2.9769661,0.0,0.0,74.9165
ENSMUSG00000021986,2.3638349,0.0,0.0,74.74705
ENSMUSG00000049811,2.641314,0.0,0.0,73.884384
ENSMUSG00000044067,4.260341,0.0,0.0,73.30996
ENSMUSG00000029663,1.7693219,0.0,0.0,73.066185
ENSMUSG00000059974,1.1994616,0.0,0.0,73.04146
ENSMUSG00000055639,1.9474291,0.0,0.0,73.0047
ENSMUSG00000029064,2.9590442,0.0,0.0,72.971725
ENSMUSG00000044499,1.6428729,0.0,0.0,72.39343
ENSMUSG00000015653,2.1763508,0.0,0.0,71.55585
ENSMUSG00000028399,0.9685782,0.0,0.0,71.41007
ENSMUSG00000056073,6.4992695,0.0,0.0,70.96727
ENSMUSG00000032340,1.9046818,0.0,0.0,70.7749
ENSMUSG00000019943,1.1087071,0.0,0.0,70.58417
ENSMUSG00000031491,3.609839,0.0,0.0,70.57513
ENSMUSG00000036469,3.8581634,0.0,0.0,70.54884
ENSMUSG00000061080,1.6787797,0.0,0.0,70.22726
ENSMUSG00000024064,2.7012796,0.0,0.0,70.113785
ENSMUSG00000040554,5.1079483,0.0,0.0,69.60515
ENSMUSG00000105265,3.0489647,0.0,0.0,69.259476
ENSMUSG00000031737,8.414173,0.0,0.0,69.053604
ENSMUSG00000032006,3.2618735,0.0,0.0,68.46954
ENSMUSG00000056755,1.6319563,0.0,0.0,68.17568
ENSMUSG00000028354,1.7699324,0.0,0.0,67.676254
ENSMUSG00000025630,1.3575993,0.0,0.0,67.211784
ENSMUSG00000021557,1.5445789,0.0,0.0,67.056854
ENSMUSG00000035275,2.5839927,0.0,0.0,66.84499
ENSMUSG00000027977,1.7702308,0.0,0.0,66.39282
ENSMUSG00000029772,1.4417504,0.0,0.0,65.590256
ENSMUSG00000052479,2.7155974,0.0,0.0,65.12825
ENSMUSG00000048899,2.8174708,0.0,0.0,65.09346
ENSMUSG00000021314,1.077541,0.0,0.0,64.70701
ENSMUSG00000034762,2.108662,0.0,0.0,64.463036
ENSMUSG00000102362,1.6550639,0.0,0.0,64.021385
ENSMUSG00000030259,1.8954396,0.0,0.0,63.88204
ENSMUSG00000010803,1.1315155,0.0,0.0,63.5753
ENSMUSG00000049336,1.5291346,0.0,0.0,63.561695
ENSMUSG00000052534,1.462714,0.0,0.0,63.540688
ENSMUSG00000087651,3.5524242,0.0,0.0,63.261787
ENSMUSG00000070866,1.6989182,0.0,0.0,63.001205
ENSMUSG00000033981,1.2452765,0.0,0.0,62.87511
ENSMUSG00000020580,1.4716687,0.0,0.0,62.375572
ENSMUSG00000063887,1.6930407,0.0,0.0,62.199425
ENSMUSG00000117000,3.0803993,0.0,0.0,61.64439
ENSMUSG00000030246,3.2589483,0.0,0.0,61.54036
ENSMUSG00000025078,1.5105953,0.0,0.0,61.226482
ENSMUSG00000070565,2.311069,0.0,0.0,60.69503
ENSMUSG00000044349,1.5193859,0.0,0.0,60.46327
ENSMUSG00000030621,1.8366246,0.0,0.0,60.375572
ENSMUSG00000032324,1.2178128,0.0,0.0,60.27994
ENSMUSG00000027016,0.873723,0.0,0.0,59.816864
