gene,logfoldchanges,pvals,pvals_adj,scores
ENSMUSG00000022935,6.427885,0.0,0.0,172.72978
ENSMUSG00000029088,6.343828,0.0,0.0,171.05571
ENSMUSG00000066113,7.121642,0.0,0.0,158.99513
ENSMUSG00000052387,6.871784,0.0,0.0,158.55632
ENSMUSG00000008575,5.4630933,0.0,0.0,157.74759
ENSMUSG00000050272,5.1392484,0.0,0.0,152.69856
ENSMUSG00000030206,3.9387896,0.0,0.0,147.8901
ENSMUSG00000032036,5.122149,0.0,0.0,147.10275
ENSMUSG00000040118,3.1901104,0.0,0.0,145.14699
ENSMUSG00000027416,5.2592616,0.0,0.0,144.57393
ENSMUSG00000067786,4.785117,0.0,0.0,142.55559
ENSMUSG00000106379,4.0052485,0.0,0.0,142.31999
ENSMUSG00000042846,6.646802,0.0,0.0,142.12854
ENSMUSG00000070695,4.5349045,0.0,0.0,138.94096
ENSMUSG00000063600,5.160722,0.0,0.0,136.97102
ENSMUSG00000044071,5.433066,0.0,0.0,135.25172
ENSMUSG00000055639,3.8762417,0.0,0.0,134.64484
ENSMUSG00000050587,2.9778326,0.0,0.0,132.72592
ENSMUSG00000040430,3.5504913,0.0,0.0,131.39337
ENSMUSG00000046159,3.3573275,0.0,0.0,130.7411
ENSMUSG00000052613,2.5904968,0.0,0.0,129.0118
ENSMUSG00000063887,3.4343774,0.0,0.0,128.15251
ENSMUSG00000045871,5.6851892,0.0,0.0,127.756905
ENSMUSG00000055865,3.6319592,0.0,0.0,126.68374
ENSMUSG00000045103,2.680729,0.0,0.0,124.661766
ENSMUSG00000020102,4.619996,0.0,0.0,123.587555
ENSMUSG00000056494,3.4645169,0.0,0.0,123.37662
ENSMUSG00000010066,5.131222,0.0,0.0,123.10494
ENSMUSG00000063873,2.7086382,0.0,0.0,121.79676
ENSMUSG00000027210,3.1595802,0.0,0.0,121.425644
ENSMUSG00000031523,2.7994552,0.0,0.0,120.796135
ENSMUSG00000017978,7.0085,0.0,0.0,120.57078
ENSMUSG00000052504,3.0964136,0.0,0.0,120.38483
ENSMUSG00000031561,2.0242574,0.0,0.0,118.68012
ENSMUSG00000041534,3.1987627,0.0,0.0,114.825386
ENSMUSG00000037747,2.3691554,0.0,0.0,113.85865
ENSMUSG00000092210,5.692305,0.0,0.0,113.84813
ENSMUSG00000038811,2.4936976,0.0,0.0,113.61869
ENSMUSG00000026163,2.1806564,0.0,0.0,113.43555
ENSMUSG00000051401,3.7512643,0.0,0.0,112.973595
ENSMUSG00000028832,2.8418376,0.0,0.0,111.01787
ENSMUSG00000045658,6.5651927,0.0,0.0,109.884224
ENSMUSG00000030518,3.187197,0.0,0.0,108.49474
ENSMUSG00000036766,4.839622,0.0,0.0,108.09374
ENSMUSG00000051910,2.7276187,0.0,0.0,107.05294
ENSMUSG00000002997,4.3455243,0.0,0.0,106.96299
ENSMUSG00000117351,2.8215103,0.0,0.0,106.86798
ENSMUSG00000021541,5.674932,0.0,0.0,105.32633
ENSMUSG00000049176,7.0610714,0.0,0.0,103.61755
ENSMUSG00000026468,2.1236513,0.0,0.0,102.63438
ENSMUSG00000057132,2.658848,0.0,0.0,100.98918
ENSMUSG00000020140,4.9322624,0.0,0.0,100.94733
ENSMUSG00000039539,4.7247095,0.0,0.0,100.26421
ENSMUSG00000038128,2.4516187,0.0,0.0,100.200874
ENSMUSG00000060843,5.3266034,0.0,0.0,99.687416
ENSMUSG00000029108,2.277007,0.0,0.0,98.762955
ENSMUSG00000049690,2.152127,0.0,0.0,98.41555
ENSMUSG00000117000,4.89649,0.0,0.0,98.24212
ENSMUSG00000027238,3.237669,0.0,0.0,96.720116
ENSMUSG00000024063,2.1458993,0.0,0.0,94.53988
ENSMUSG00000074991,2.291611,0.0,0.0,94.36658
ENSMUSG00000035653,7.7823663,0.0,0.0,94.24663
ENSMUSG00000040896,2.6741874,0.0,0.0,93.49774
ENSMUSG00000090223,2.1899467,0.0,0.0,92.305885
ENSMUSG00000018378,1.905965,0.0,0.0,92.27256
ENSMUSG00000033676,1.0245967,0.0,0.0,92.018265
ENSMUSG00000030259,2.534655,0.0,0.0,91.132286
ENSMUSG00000027351,2.40648,0.0,0.0,90.272934
ENSMUSG00000016918,2.103195,0.0,0.0,88.68458
ENSMUSG00000064293,1.7581891,0.0,0.0,88.27345
ENSMUSG00000029761,2.9706368,0.0,0.0,87.178345
ENSMUSG00000037996,2.0512452,0.0,0.0,86.69452
ENSMUSG00000043004,7.210318,0.0,0.0,86.196175
ENSMUSG00000031673,1.8582462,0.0,0.0,85.799
ENSMUSG00000075020,2.1594524,0.0,0.0,85.32769
ENSMUSG00000109803,8.536035,0.0,0.0,84.488144
ENSMUSG00000000263,1.9078174,0.0,0.0,84.133446
ENSMUSG00000041235,2.9329822,0.0,0.0,83.373535
ENSMUSG00000003746,2.3555815,0.0,0.0,83.22993
ENSMUSG00000021313,1.5936625,0.0,0.0,83.12489
ENSMUSG00000054733,2.384303,0.0,0.0,83.02738
ENSMUSG00000020524,1.6528388,0.0,0.0,82.54493
ENSMUSG00000040624,4.338778,0.0,0.0,82.39561
ENSMUSG00000022876,1.4438003,0.0,0.0,81.75192
ENSMUSG00000008932,1.7642155,0.0,0.0,81.38165
ENSMUSG00000037593,1.1119639,0.0,0.0,80.96155
ENSMUSG00000021098,1.3958049,0.0,0.0,79.28721
ENSMUSG00000028565,1.5782913,0.0,0.0,78.622375
ENSMUSG00000052534,1.6405147,0.0,0.0,77.17427
ENSMUSG00000024112,1.7854149,0.0,0.0,76.025665
ENSMUSG00000092094,1.9463089,0.0,0.0,75.69418
ENSMUSG00000044164,2.2838132,0.0,0.0,74.40933
ENSMUSG00000022892,1.2512295,0.0,0.0,73.4938
ENSMUSG00000052889,1.4451605,0.0,0.0,73.3136
ENSMUSG00000019990,1.7223339,0.0,0.0,73.15495
ENSMUSG00000024420,1.7389318,0.0,0.0,72.74033
ENSMUSG00000031626,1.6044708,0.0,0.0,72.24226
ENSMUSG00000075330,4.379109,0.0,0.0,71.82617
ENSMUSG00000069170,1.6864192,0.0,0.0,71.77924
ENSMUSG00000009108,1.9257241,0.0,0.0,71.076706
