gene,logfoldchanges,pvals,pvals_adj,scores
ENSMUSG00000029663,2.8624177,0.0,0.0,124.0481
ENSMUSG00000052551,3.5507104,0.0,0.0,115.95844
ENSMUSG00000039488,3.0309439,0.0,0.0,109.478065
ENSMUSG00000028266,2.6071637,0.0,0.0,108.28301
ENSMUSG00000064115,1.82018,0.0,0.0,107.65886
ENSMUSG00000031673,2.4621296,0.0,0.0,106.0766
ENSMUSG00000039037,2.9502425,0.0,0.0,104.58437
ENSMUSG00000030206,1.9286654,0.0,0.0,89.457466
ENSMUSG00000074991,2.6130333,0.0,0.0,87.95177
ENSMUSG00000056494,2.747682,0.0,0.0,87.196976
ENSMUSG00000033910,1.6489371,0.0,0.0,87.11469
ENSMUSG00000106515,1.4489026,0.0,0.0,86.462135
ENSMUSG00000057378,1.9653867,0.0,0.0,84.769844
ENSMUSG00000019856,2.0565686,0.0,0.0,84.14127
ENSMUSG00000063873,1.900615,0.0,0.0,83.27197
ENSMUSG00000092083,1.8038683,0.0,0.0,82.61147
ENSMUSG00000006586,1.3526735,0.0,0.0,81.59553
ENSMUSG00000039542,1.3058158,0.0,0.0,81.16945
ENSMUSG00000063063,1.2579983,0.0,0.0,79.93397
ENSMUSG00000090061,2.4703114,0.0,0.0,78.55151
ENSMUSG00000033740,1.5089797,0.0,0.0,77.935486
ENSMUSG00000034310,1.4173,0.0,0.0,77.90858
ENSMUSG00000037940,1.4055363,0.0,0.0,76.388115
ENSMUSG00000037605,1.7738637,0.0,0.0,76.37666
ENSMUSG00000049420,4.154098,0.0,0.0,74.098625
ENSMUSG00000117351,2.1988332,0.0,0.0,73.66237
ENSMUSG00000025969,2.5945919,0.0,0.0,72.71373
ENSMUSG00000030516,1.5545053,0.0,0.0,72.42864
ENSMUSG00000026872,1.4446677,0.0,0.0,72.26068
ENSMUSG00000064293,1.4627687,0.0,0.0,72.072014
ENSMUSG00000021779,2.34444,0.0,0.0,71.96387
ENSMUSG00000026468,1.4888924,0.0,0.0,69.77728
ENSMUSG00000026748,3.2119813,0.0,0.0,69.35601
ENSMUSG00000038168,3.134779,0.0,0.0,69.153915
ENSMUSG00000056158,0.7667825,0.0,0.0,68.72572
ENSMUSG00000049336,1.584603,0.0,0.0,68.58256
ENSMUSG00000048015,1.0571995,0.0,0.0,68.55347
ENSMUSG00000029088,1.843372,0.0,0.0,68.10615
ENSMUSG00000051166,1.1251295,0.0,0.0,67.52578
ENSMUSG00000060924,3.1184583,0.0,0.0,66.99276
ENSMUSG00000028184,1.2888924,0.0,0.0,66.39039
ENSMUSG00000022306,2.2416713,0.0,0.0,64.953156
ENSMUSG00000021700,1.4508439,0.0,0.0,64.13915
ENSMUSG00000062373,2.3185449,0.0,0.0,63.417305
ENSMUSG00000017493,5.911411,0.0,0.0,63.339527
ENSMUSG00000008575,2.1713436,0.0,0.0,62.170517
ENSMUSG00000024172,1.9438121,0.0,0.0,62.125854
ENSMUSG00000068748,1.1068116,0.0,0.0,61.88761
ENSMUSG00000058589,1.9001603,0.0,0.0,61.82082
ENSMUSG00000053580,2.0999057,0.0,0.0,61.579453
ENSMUSG00000030525,2.2696164,0.0,0.0,61.522217
ENSMUSG00000034912,0.87392265,0.0,0.0,61.026787
ENSMUSG00000044647,1.4057726,0.0,0.0,60.771645
ENSMUSG00000041741,2.9068112,0.0,0.0,59.852924
ENSMUSG00000027777,1.7877256,0.0,0.0,59.719727
ENSMUSG00000028125,1.8670971,0.0,0.0,59.554436
ENSMUSG00000024519,1.3443707,0.0,0.0,59.24062
ENSMUSG00000027238,2.1205974,0.0,0.0,58.50667
ENSMUSG00000032036,3.498448,0.0,0.0,57.659916
ENSMUSG00000022577,2.3167062,0.0,0.0,57.203915
ENSMUSG00000025892,1.8288925,0.0,0.0,57.143795
ENSMUSG00000092094,1.5600948,0.0,0.0,56.403286
ENSMUSG00000050830,6.083803,0.0,0.0,56.26763
ENSMUSG00000038119,1.9295647,0.0,0.0,54.654594
ENSMUSG00000097039,5.555891,0.0,0.0,54.35037
ENSMUSG00000027748,1.7070423,0.0,0.0,54.31324
ENSMUSG00000046159,1.3500499,0.0,0.0,54.110085
ENSMUSG00000057716,1.2508802,0.0,0.0,53.816074
ENSMUSG00000053477,0.7263661,0.0,0.0,53.51436
ENSMUSG00000033214,4.6073227,0.0,0.0,53.240223
ENSMUSG00000109321,0.7216586,0.0,0.0,52.535286
ENSMUSG00000109394,0.68733436,0.0,0.0,51.589798
ENSMUSG00000036019,0.78752315,0.0,0.0,51.109154
ENSMUSG00000062760,1.1849518,0.0,0.0,50.803192
ENSMUSG00000039809,1.4133598,0.0,0.0,50.642906
ENSMUSG00000022799,1.2844793,0.0,0.0,49.692863
ENSMUSG00000026737,3.1713996,0.0,0.0,48.965164
ENSMUSG00000041014,2.4745123,0.0,0.0,48.756474
ENSMUSG00000052504,1.2049378,0.0,0.0,48.192825
ENSMUSG00000066392,0.3847758,0.0,0.0,48.149967
ENSMUSG00000021209,4.451701,0.0,0.0,48.06036
ENSMUSG00000028289,1.2352897,0.0,0.0,47.43434
ENSMUSG00000060882,3.207559,0.0,0.0,47.33905
ENSMUSG00000033569,0.6682316,0.0,0.0,47.078037
ENSMUSG00000003746,1.4046276,0.0,0.0,46.968014
ENSMUSG00000027210,2.1921058,0.0,0.0,45.884796
ENSMUSG00000024857,1.7062144,0.0,0.0,45.802498
ENSMUSG00000061353,7.2059402,0.0,0.0,45.24974
ENSMUSG00000008932,1.4436672,0.0,0.0,44.71329
ENSMUSG00000043456,0.8838693,0.0,0.0,44.699272
ENSMUSG00000042757,1.0395589,0.0,0.0,44.523445
ENSMUSG00000049100,3.5505915,0.0,0.0,44.48628
ENSMUSG00000028444,2.584121,0.0,0.0,44.046844
ENSMUSG00000035864,0.3644708,0.0,0.0,43.948547
ENSMUSG00000038255,2.03045,0.0,0.0,43.71893
ENSMUSG00000029223,1.9157362,0.0,0.0,43.600544
ENSMUSG00000011171,0.927216,0.0,0.0,43.35214
ENSMUSG00000036815,4.328334,0.0,0.0,43.19035
ENSMUSG00000049775,0.99730724,0.0,0.0,43.03677
ENSMUSG00000023094,3.1098702,0.0,0.0,42.82886
ENSMUSG00000029761,1.5764679,0.0,0.0,41.898613
ENSMUSG00000002688,1.0350688,0.0,0.0,41.856518
ENSMUSG00000091636,1.5667351,0.0,0.0,41.8442
ENSMUSG00000064329,2.5561554,0.0,0.0,41.773834
ENSMUSG00000079157,0.7205303,0.0,0.0,41.748894
ENSMUSG00000022321,1.8238139,0.0,0.0,41.70572
ENSMUSG00000015766,1.0006344,0.0,0.0,41.57184
ENSMUSG00000060780,4.5425634,0.0,0.0,41.42754
ENSMUSG00000056145,2.019803,0.0,0.0,40.5196
ENSMUSG00000087143,1.6355032,0.0,0.0,40.40612
ENSMUSG00000021730,0.8690048,0.0,0.0,40.07021
ENSMUSG00000022876,0.82785976,0.0,0.0,40.020912
ENSMUSG00000045648,1.4582591,0.0,0.0,39.77038
ENSMUSG00000022240,0.71732503,0.0,0.0,39.655994
